experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,search_evaluations,unique_candidates,fidelity_counts,search_wall_s,peak_rss_mb,cfg_p,cfg_opt_iters,cfg_warm_start,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10,utility_cvar10,utility_min,service_violation,cfg_n_qubits,cfg_layers,cfg_reupload,cfg_train_iters,cfg_lr
clearaccept_confirmatory,qaoa,100,sequential,30.0,42.00000000000002,94.77194192267736,84,40,"{""1"": 60, ""2"": 24}",4.99508300004527,168.5,3.0,20.0,1.0,2048,0,2,qpu_B,0.004361618741778248,1.5217145418112028,0.4,0.075,7.048,0.002048,1.6664025418112032,0.0,-1.430539684827449,-2.4614541758140462,-5.115257824792176,-7.214012628494109,0.45,,,,,
clearaccept_confirmatory,qaoa,100,capo_joint_only,30.0,30.0,112.70593753449319,30,10,"{""2"": 30}",0.1844977909931913,168.5,3.0,20.0,1.0,2048,1,2,remote_sim,0.0014354208131869234,0.258613774593224,0.025,0.05,1.268432,5.073728000000001e-08,0.266226903457224,0.0,-0.3270574341528774,-0.04061274559414343,-3.0420419245299306,-5.065001309558729,0.075,,,,,
clearaccept_confirmatory,qaoa,100,random,30.0,42.0,212.43385516806555,42,10,"{""2"": 42}",0.24982108396943659,168.5,3.0,20.0,1.0,2048,1,2,local_sim,0.0014354208131869234,0.4949120000000001,0.1,0.05,3.9592960000000006,0.0,0.518667776,0.0,-0.5096642209974608,-2.043500051701024,-3.571951714121619,-5.0996977738783285,0.15,,,,,
clearaccept_confirmatory,qaoa,100,capo_mf_no_rescore,30.0,32.16,52.94642569488501,54,21,"{""0"": 18, ""1"": 6, ""2"": 30}",0.32869175006635487,176.03125,1.0,20.0,1.0,512,1,0,classical,0.023639989815488822,0.00502038536069449,0.0,0.5,0.04016308288555592,0.0,0.005261363858007826,0.0,-2.524230433631991,-5.07362438741783,-5.078193753280582,-5.091733073960543,0.5,,,,,
clearaccept_confirmatory,qaoa,100,joint_mf,30.0,44.16,116.21250900894397,66,23,"{""0"": 18, ""1"": 6, ""2"": 42}",0.24568187491968274,176.03125,3.0,40.0,1.0,512,1,1,remote_sim,0.044618711309081696,0.108613774593224,0.0,0.475,1.268432,5.073728000000001e-08,0.11622690345722397,0.0,-2.4347924962210086,-5.098061703254262,-5.277587313791523,-5.345729088941684,0.475,,,,,
clearaccept_confirmatory,qaoa,100,capo_chance,30.0,42.49999999999994,14.269357246198968,214,34,"{""0"": 175, ""2"": 39}",0.07175741600804031,176.03125,3.0,80.0,1.0,2048,1,0,local_sim,0.0014354208131869234,0.304912,0.025,0.05,2.439296,0.0,0.319547776,0.0,-0.3373097983222942,-0.05074763801625849,-3.05079006708159,-5.072444488553318,0.075,,,,,
clearaccept_confirmatory,qaoa,100,device_aware_sequential,30.0,42.0,291.0851030433775,42,19,"{""2"": 42}",0.2200927089434117,176.03125,2.0,20.0,0.0,128,0,1,classical,0.023639989815488822,0.004955891432473436,0.0,0.5,0.03964713145978749,0.0,0.005193774221232161,0.0,-2.524223571835074,-5.073610075947828,-5.078194436643615,-5.091710913115201,0.5,,,,,
clearaccept_confirmatory,qaoa,100,fixed_design_scheduler,30.0,42.0,244.16462998905044,42,9,"{""2"": 42}",0.2003022920107469,176.03125,1.0,40.0,0.0,128,1,2,classical,0.023639989815488822,0.0050227133760927245,0.0,0.5,0.040181707008741796,0.0,0.005263803618145176,0.0,-2.5242318344979444,-5.073643789905354,-5.078210288845504,-5.091721580622149,0.5,,,,,
clearaccept_confirmatory,qaoa,100,classical_only,30.0,0.0,0.0,0,0,{},6.124959327280521e-06,176.03125,1.0,40.0,0.0,512,0,1,classical,0.023639989815488822,0.004979676567018032,0.0,0.5,0.03983741253614426,0.0,0.005218701042234898,0.0,-2.5242268045680825,-5.073630388464602,-5.078195701036799,-5.0917470109084615,0.5,,,,,
clearaccept_confirmatory,qaoa,101,sequential,30.0,42.00000000000002,94.19560690907086,84,42,"{""1"": 60, ""2"": 24}",0.4147830419242382,176.03125,3.0,20.0,1.0,2048,0,1,qpu_B,0.0,0.5948771352646515,0.225,0.0,7.048,0.002048,0.7395651352646514,0.0,-0.6316960047536687,-2.1815183918058323,-2.1967382191789557,-2.211115263462727,0.225,,,,,
clearaccept_confirmatory,qaoa,101,capo_joint_only,30.0,30.0,317.9270811294461,30,10,"{""2"": 30}",0.14449887489899993,176.03125,3.0,80.0,1.0,128,0,0,classical,0.041964086260090995,0.004783729193150066,0.0,0.0,0.03826983354520053,0.0,0.005013348194421269,0.0,-0.04250236679679109,-0.18317452995587644,-0.27693667718973647,-0.42099343507539483,0.0,,,,,
clearaccept_confirmatory,qaoa,101,random,30.0,42.0,110.18050661462456,42,10,"{""2"": 42}",0.08370583294890821,176.03125,1.0,80.0,1.0,2048,0,0,classical,0.041964086260090995,0.0047885516250971705,0.0,0.0,0.038308413000777364,0.0,0.005018402103101835,0.0,-0.042502593740245495,-0.18317314403008095,-0.27692837386125807,-0.42102189579587834,0.0,,,,,
clearaccept_confirmatory,qaoa,101,capo_mf_no_rescore,30.0,32.16,165.281598730465,54,25,"{""0"": 18, ""1"": 6, ""2"": 30}",0.08335574995726347,176.03125,1.0,80.0,1.0,2048,1,0,local_sim,0.0,0.108304,0.025,0.0,0.866432,0.0,0.11350259199999999,0.0,-0.06219766816013681,-0.0174654350451699,-0.5176507418074805,-2.0173047809132183,0.025,,,,,
clearaccept_confirmatory,qaoa,101,joint_mf,30.0,44.16,734.7561566347606,66,24,"{""0"": 18, ""1"": 6, ""2"": 42}",0.3307770830579102,176.03125,2.0,80.0,1.0,128,0,1,classical,0.041964086260090995,0.004816578366444446,0.0,0.0,0.03853262693155557,0.0,0.00504777412803378,0.0,-0.0425070673882657,-0.1831694006447126,-0.27694293247987795,-0.42103883964162675,0.0,,,,,
clearaccept_confirmatory,qaoa,101,capo_chance,30.0,43.79999999999997,5.257514599659464,132,18,"{""0"": 90, ""2"": 42}",0.07156283303629607,176.03125,2.0,80.0,0.0,512,1,2,classical,0.041964086260090995,0.004821500071557239,0.0,0.0,0.03857200057245791,0.0,0.005052932074991986,0.0,-0.04250734274378996,-0.1831748728789681,-0.2769492337418389,-0.4210500570433932,0.0,,,,,
clearaccept_confirmatory,qaoa,101,device_aware_sequential,30.0,42.0,167.30849154945136,42,20,"{""2"": 42}",0.12017029197886586,176.03125,3.0,40.0,1.0,2048,1,0,classical,0.041964086260090995,0.004780182061949745,0.0,0.0,0.03824145649559796,0.0,0.005009630800923333,0.0,-0.04250301738349088,-0.18317106198542604,-0.2769419236106548,-0.4210116771643634,0.0,,,,,
