workload,seed,gain,mean_without_case
qaoa_channel,100,1.0183261723486412,0.015247606538456906
qaoa_place,100,1.015101676246775,0.015302259014759715
qaoa,110,0.7661052077366294,0.01952253814205031
qaoa_channel,101,0.6210976941254414,0.021980292610036548
qaoa_place,101,0.614697792066476,0.0220887655262902
qaoa,101,0.589188937365403,0.022521118995799908
qaoa,102,0.2523209206331313,0.0282307463980418
qaoa,104,0.14791424813052698,0.030000351016730015
qaoa_place,104,0.0855660231945367,0.031057100591916284
vqc,100,0.08222495520743842,0.031113728862884053
qaoa,105,0.05583710934141191,0.03156098048773196
vqc_cancer,100,0.047937179556098,0.03169487760273728
qaoa,109,0.04622940888267919,0.03172382286838845
vqc,111,0.04056622521888491,0.03181980903218158
vqc,102,0.037453835767351104,0.0318725613957669
qaoa_place,110,0.02650711265084431,0.0320580990757077
qaoa_place,111,0.022533316074115184,0.03212545156005903
vqc_cancer,108,0.021870541376726803,0.03213668502950629
qaoa_channel,108,0.0109949598349279,0.03232101692004526
vqc_cancer,102,0.0108939664490742,0.032322728672347874
vqc,104,0.010656537931455101,0.03232675288451091
vqc,105,0.0031236330335817075,0.032454429238712154
vqc_cancer,107,0.0027885975232229965,0.032460107806684325
vqc_cancer,103,0.0009954577682761007,0.03249050000592072
qaoa_place,107,2.074410652719988e-05,0.03250702057645883
qaoa_channel,106,7.952677464000135e-06,0.03250723738034126
qaoa_channel,110,2.666545696299906e-06,0.032507326975794955
qaoa_place,102,1.418217368300001e-06,0.03250734813390221
qaoa_channel,103,7.845104241996359e-07,0.03250735887469786
qaoa_channel,111,4.066018379000414e-07,0.03250736527992815
qaoa_place,106,-3.4556727349088767e-07,0.03250737802855715
qaoa_channel,107,-1.299591868299775e-06,0.03250739419846554
qaoa_channel,104,-1.3940997929985655e-06,0.03250739580029477
qaoa_place,103,-2.621206889097394e-06,0.032507416598720126
qaoa_channel,109,-3.632082367199807e-06,0.032507433732202815
qaoa_place,109,-3.64958674230198e-06,0.03250743402888713
qaoa_channel,105,-5.0937669133000775e-06,0.03250745850651715
vqc_cancer,110,-2.7865499012201533e-05,0.03250784446807815
vqc,108,-0.00026029334848309826,0.03251178392315393
qaoa,107,-0.0005386220373865009,0.032516501358559075
qaoa,103,-0.002646429259444999,0.03255222690469566
vqc_cancer,106,-0.0033683864156150017,0.03256446346666464
vqc_cancer,105,-0.008060117149801309,0.0326439843265661
qaoa_place,108,-0.008803700679198402,0.03265658743723385
vqc,106,-0.010564455433010211,0.03268643073814591
vqc_cancer,101,-0.010937199496123796,0.03269274843413089
qaoa_channel,102,-0.0120723902551292,0.03271198895546995
vqc_cancer,111,-0.013496274781115099,0.03273612259150361
vqc_cancer,104,-0.0141606338552401,0.03274738291479387
vqc,101,-0.014373797984495285,0.03275099586613719
vqc,109,-0.015336293728319697,0.032767309353320645
vqc,103,-0.025338762113750107,0.03293684271578558
vqc,107,-0.030312798661360107,0.033021148419982355
vqc,110,-0.030611370312307706,0.03302620895643909
vqc_cancer,109,-0.03728749739190419,0.03313936365270343
qaoa,106,-0.047629853345056095,0.03331465782140092
qaoa_place,105,-0.26093256275552357,0.03692995798090037
qaoa,108,-0.3168550496024043,0.037877796741016996
qaoa,100,-1.00425281139356,0.049528606262900995
qaoa,111,-1.7451453216052804,0.062086106435980996
