experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,search_evaluations,unique_candidates,fidelity_counts,search_wall_s,peak_rss_mb,cfg_p,cfg_opt_iters,cfg_warm_start,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10,utility_cvar10,utility_min,service_violation,cfg_n_qubits,cfg_layers,cfg_reupload,cfg_train_iters,cfg_lr
clearaccept_confirmatory,qaoa,100,exhaustive_f0,30.0,109.1999999999978,4.92281210573386,4872,1620,"{""0"": 4860, ""2"": 12}",1.0504110000329092,168.625,2.0,20.0,0.0,128,1,1,classical,0.023639989815488822,0.00512130738934502,0.0,0.5,0.04097045911476016,0.0,0.0053671301440335805,0.0,-2.524241098643093,-5.073665382884616,-5.0782278602731274,-5.091725009463668,0.5,,,,,
clearaccept_confirmatory,qaoa,100,device_aware_fallback,30.0,50.0,154.59671891514722,50,22,"{""2"": 50}",4.972677499987185,169.25,2.0,40.0,1.0,2048,1,2,remote_sim,0.0014354208131869234,0.258589198593224,0.025,0.05,1.262288,5.049152000000001e-08,0.26616545116922397,0.0,-0.3270188460271318,-0.04057310355780664,-3.042003367752559,-5.0649620877779915,0.075,,,,,
clearaccept_confirmatory,qaoa,100,capo_joint_only_espend,30.0,42.0,461.0072034666076,42,14,"{""2"": 42}",0.12761783401947469,169.25,2.0,40.0,1.0,2048,0,1,remote_sim,0.0014354208131869234,0.108589198593224,0.0,0.05,1.262288,5.049152000000001e-08,0.11616545116922398,0.0,-0.26657061759936873,-0.022045749428750313,-2.5342816399057067,-5.050646336205614,0.05,,,,,
clearaccept_confirmatory,qaoa,101,exhaustive_f0,30.0,109.1999999999978,4.920580295268404,4872,1620,"{""0"": 4860, ""2"": 12}",1.0149334579473361,169.25,3.0,20.0,1.0,512,1,2,classical,0.041964086260090995,0.004909906900138594,0.0,0.0,0.039279255201108754,0.0,0.005145582431345247,0.0,-0.042517121287440875,-0.18318829687729138,-0.2769418350834526,-0.42103451207122256,0.0,,,,,
clearaccept_confirmatory,qaoa,101,device_aware_fallback,30.0,50.0,159.94515527562007,50,22,"{""2"": 50}",0.28090308397077024,169.265625,1.0,40.0,0.0,512,0,2,classical,0.041964086260090995,0.004887228991719894,0.0,0.0,0.03909783193375915,0.0,0.005121815983322449,0.0,-0.04251436647015886,-0.18319311702621177,-0.27694916269279646,-0.4210488914239164,0.0,,,,,
clearaccept_confirmatory,qaoa,101,capo_joint_only_espend,30.0,42.0,508.7559800374687,42,14,"{""2"": 42}",0.45474245806690305,169.28125,3.0,80.0,1.0,128,0,1,classical,0.041964086260090995,0.004886130496743135,0.0,0.0,0.03908904397394508,0.0,0.005120664760586806,0.0,-0.04251445310879172,-0.18318952587627496,-0.27694443576572836,-0.4209998589565792,0.0,,,,,
clearaccept_confirmatory,qaoa,102,exhaustive_f0,30.0,109.1999999999978,4.922343323468188,4872,1620,"{""0"": 4860, ""2"": 12}",1.030971458996646,169.296875,2.0,80.0,0.0,128,1,2,classical,0.023323747159642645,0.004902338667307049,0.0,0.075,0.03921870933845639,0.0,0.005137650923337787,0.0,-0.3988799181399787,-0.1224908748741001,-3.844080925448888,-5.213434551022295,0.075,,,,,
clearaccept_confirmatory,qaoa,102,device_aware_fallback,30.0,50.0,579.4855236699431,50,23,"{""2"": 50}",0.48196687491144985,169.296875,2.0,40.0,0.0,128,0,1,classical,0.023323747159642645,0.0049646461848169565,0.0,0.075,0.03971716947853565,0.0,0.00520294920168817,0.0,-0.3988874865531858,-0.12248907918296836,-3.844070127884699,-5.213461827804961,0.075,,,,,
clearaccept_confirmatory,qaoa,102,capo_joint_only_espend,30.0,42.0,656.6678729709712,42,14,"{""2"": 42}",0.2100793330464512,169.296875,1.0,80.0,1.0,128,1,2,classical,0.023323747159642645,0.004975254661985673,0.0,0.075,0.039802037295885384,0.0,0.005214066885760985,0.0,-0.3988874668086174,-0.1224986454128749,-3.8440767794285238,-5.2134628269091845,0.075,,,,,
clearaccept_confirmatory,qaoa,103,exhaustive_f0,30.0,109.1999999999978,4.920318950260948,4872,1620,"{""0"": 4860, ""2"": 12}",1.018304375000298,169.296875,2.0,40.0,0.0,512,0,0,classical,0.04434033708672068,0.004856260769884102,0.0,0.0,0.038850086159072816,0.0,0.00508936128683854,0.0,-0.04488956365070287,-0.08573704285653391,-0.28757037416631115,-0.40532162760534507,0.0,,,,,
