regime,seed,drift_strength,policy,action_loss,service_violation
qpu_opportunity,120,0.0,static_certificate,0.024675066538178917,0.01
qpu_opportunity,120,0.0,expire_fallback,0.3,0.0
qpu_opportunity,120,0.5,static_certificate,0.04459798138402289,0.03
qpu_opportunity,120,0.5,expire_fallback,0.3,0.0
qpu_opportunity,120,1.0,static_certificate,0.0545979813840229,0.04
qpu_opportunity,120,1.0,expire_fallback,0.3,0.0
qpu_opportunity,120,1.5,static_certificate,0.06452089622986686,0.05
qpu_opportunity,120,1.5,expire_fallback,0.3,0.0
qpu_opportunity,121,0.0,static_certificate,0.3,0.0
qpu_opportunity,121,0.0,expire_fallback,0.3,0.0
qpu_opportunity,121,0.5,static_certificate,0.3,0.0
qpu_opportunity,121,0.5,expire_fallback,0.3,0.0
qpu_opportunity,121,1.0,static_certificate,0.3,0.0
qpu_opportunity,121,1.0,expire_fallback,0.3,0.0
qpu_opportunity,121,1.5,static_certificate,0.3,0.0
qpu_opportunity,121,1.5,expire_fallback,0.3,0.0
qpu_opportunity,122,0.0,static_certificate,0.3,0.0
qpu_opportunity,122,0.0,expire_fallback,0.3,0.0
qpu_opportunity,122,0.5,static_certificate,0.3,0.0
qpu_opportunity,122,0.5,expire_fallback,0.3,0.0
qpu_opportunity,122,1.0,static_certificate,0.3,0.0
qpu_opportunity,122,1.0,expire_fallback,0.3,0.0
qpu_opportunity,122,1.5,static_certificate,0.3,0.0
qpu_opportunity,122,1.5,expire_fallback,0.3,0.0
qpu_opportunity,123,0.0,static_certificate,0.0014038267165506402,0.0
qpu_opportunity,123,0.0,expire_fallback,0.3,0.0
qpu_opportunity,123,0.5,static_certificate,0.0014038267165506402,0.0
qpu_opportunity,123,0.5,expire_fallback,0.3,0.0
qpu_opportunity,123,1.0,static_certificate,0.021403826716550643,0.02
qpu_opportunity,123,1.0,expire_fallback,0.3,0.0
qpu_opportunity,123,1.5,static_certificate,0.051403826716550645,0.05
qpu_opportunity,123,1.5,expire_fallback,0.3,0.0
qpu_opportunity,124,0.0,static_certificate,0.3,0.0
qpu_opportunity,124,0.0,expire_fallback,0.3,0.0
qpu_opportunity,124,0.5,static_certificate,0.3,0.0
qpu_opportunity,124,0.5,expire_fallback,0.3,0.0
qpu_opportunity,124,1.0,static_certificate,0.3,0.0
qpu_opportunity,124,1.0,expire_fallback,0.3,0.0
qpu_opportunity,124,1.5,static_certificate,0.3,0.0
qpu_opportunity,124,1.5,expire_fallback,0.3,0.0
qpu_opportunity,125,0.0,static_certificate,0.03081354969325677,0.02
qpu_opportunity,125,0.0,expire_fallback,0.3,0.0
qpu_opportunity,125,0.5,static_certificate,0.0608105186964305,0.05
qpu_opportunity,125,0.5,expire_fallback,0.3,0.0
qpu_opportunity,125,1.0,static_certificate,0.08999813820258117,0.08
qpu_opportunity,125,1.0,expire_fallback,0.3,0.0
qpu_opportunity,125,1.5,static_certificate,0.09905478361491468,0.09
qpu_opportunity,125,1.5,expire_fallback,0.3,0.0
qpu_opportunity,126,0.0,static_certificate,0.0607127752785177,0.04
qpu_opportunity,126,0.0,expire_fallback,0.3,0.0
qpu_opportunity,126,0.5,static_certificate,0.0707127752785177,0.05
qpu_opportunity,126,0.5,expire_fallback,0.3,0.0
qpu_opportunity,126,1.0,static_certificate,0.0900615751271619,0.07
qpu_opportunity,126,1.0,expire_fallback,0.3,0.0
qpu_opportunity,126,1.5,static_certificate,0.10006157512716189,0.08
qpu_opportunity,126,1.5,expire_fallback,0.3,0.0
qpu_opportunity,127,0.0,static_certificate,0.03503194963013085,0.0
qpu_opportunity,127,0.0,expire_fallback,0.3,0.0
qpu_opportunity,127,0.5,static_certificate,0.06391732237888159,0.03
qpu_opportunity,127,0.5,expire_fallback,0.3,0.0
qpu_opportunity,127,1.0,static_certificate,0.06391732237888159,0.03
qpu_opportunity,127,1.0,expire_fallback,0.3,0.0
qpu_opportunity,127,1.5,static_certificate,0.06391732237888159,0.03
qpu_opportunity,127,1.5,expire_fallback,0.3,0.0
qpu_opportunity,128,0.0,static_certificate,0.3,0.0
qpu_opportunity,128,0.0,expire_fallback,0.3,0.0
qpu_opportunity,128,0.5,static_certificate,0.3,0.0
qpu_opportunity,128,0.5,expire_fallback,0.3,0.0
qpu_opportunity,128,1.0,static_certificate,0.3,0.0
qpu_opportunity,128,1.0,expire_fallback,0.3,0.0
qpu_opportunity,128,1.5,static_certificate,0.3,0.0
qpu_opportunity,128,1.5,expire_fallback,0.3,0.0
qpu_opportunity,129,0.0,static_certificate,0.3,0.0
qpu_opportunity,129,0.0,expire_fallback,0.3,0.0
qpu_opportunity,129,0.5,static_certificate,0.3,0.0
qpu_opportunity,129,0.5,expire_fallback,0.3,0.0
qpu_opportunity,129,1.0,static_certificate,0.3,0.0
qpu_opportunity,129,1.0,expire_fallback,0.3,0.0
qpu_opportunity,129,1.5,static_certificate,0.3,0.0
qpu_opportunity,129,1.5,expire_fallback,0.3,0.0
qpu_opportunity,130,0.0,static_certificate,0.3,0.0
qpu_opportunity,130,0.0,expire_fallback,0.3,0.0
qpu_opportunity,130,0.5,static_certificate,0.3,0.0
qpu_opportunity,130,0.5,expire_fallback,0.3,0.0
qpu_opportunity,130,1.0,static_certificate,0.3,0.0
qpu_opportunity,130,1.0,expire_fallback,0.3,0.0
qpu_opportunity,130,1.5,static_certificate,0.3,0.0
qpu_opportunity,130,1.5,expire_fallback,0.3,0.0
qpu_opportunity,131,0.0,static_certificate,0.02023684046729099,0.02
qpu_opportunity,131,0.0,expire_fallback,0.3,0.0
qpu_opportunity,131,0.5,static_certificate,0.05023684046729099,0.05
qpu_opportunity,131,0.5,expire_fallback,0.3,0.0
qpu_opportunity,131,1.0,static_certificate,0.05023684046729099,0.05
