workload,seed,method,selected_mitigation,shot_multiplier,residual_error_multiplier,utility,utility_p10,service_violation,quality_loss,delay_s
qaoa,100,sequential,0,2.0,0.25,-2.1702560836912888,-5.493077219965511,0.4,0.008612524879121541,1.4800399110536016
qaoa,100,joint_mf,1,2.0,0.25,-3.1100937297099263,-5.164479923592151,0.6,0.09431712859767867,0.10404529906220261
qaoa,100,capo_chance,1,2.0,0.25,-0.03859618429516355,-0.04711090501895445,0.0,0.0,0.30491199999999996
qaoa,101,sequential,0,2.0,0.25,-0.39462979064973713,-0.41494167322860187,0.1,0.0,0.6324147614238481
qaoa,101,joint_mf,0,2.0,0.25,-0.011234061200031103,-0.02907273178371147,0.0,0.010593463179069593,0.005123958457261324
qaoa,101,capo_chance,1,2.0,0.25,-0.011234562704403081,-0.029082747201921607,0.0,0.010593463179069593,0.0051337084150873125
qaoa_channel,100,sequential,1,2.0,0.25,-0.5962528246415713,-2.2674101372262627,0.2,0.0,1.3776399110536017
qaoa_channel,100,joint_mf,1,2.0,0.25,-0.0007105950283267421,-0.0008787868897873857,0.0,0.0,0.005597312992904335
qaoa_channel,100,capo_chance,1,2.0,0.25,-0.0007169139713501963,-0.000860285642110869,0.0,0.0,0.005669666512403637
qaoa_channel,101,sequential,0,2.0,0.25,-0.39462979064973713,-0.41494167322860187,0.1,0.0,0.6324147614238481
qaoa_channel,101,joint_mf,0,2.0,0.25,-0.003331658245387223,-0.013485886138343277,0.0,0.0026133532690555774,0.00577537453500554
qaoa_channel,101,capo_chance,1,2.0,0.25,-0.0033200179002376142,-0.013484153732328034,0.0,0.0026133532690555774,0.005704083072487265
qaoa_place,100,sequential,1,2.0,0.25,-0.6475864494954595,-2.2674101372262627,0.2,0.05133362485388822,1.3776399110536017
qaoa_place,100,joint_mf,1,2.0,0.25,-0.04298717033614472,-0.14176514348398564,0.0,0.027210569223897096,0.10404529906220261
qaoa_place,100,capo_chance,0,2.0,0.25,-0.027982159545632306,-0.03511629093418556,0.0,0.01224436593758563,0.10402072306220263
qaoa_place,101,sequential,0,2.0,0.25,-0.409112033211653,-0.42942391579051775,0.1,0.014482242561915826,0.6324147614238481
qaoa_place,101,joint_mf,0,2.0,0.25,-0.015057061597564569,-0.02691495773108289,0.0,0.014404078244829255,0.005262873833999038
qaoa_place,101,capo_chance,1,2.0,0.25,-0.024895146154308812,-0.03493916427683129,0.0,0.012419148840062049,0.06280441471859319
vqc,100,sequential,0,2.0,0.25,-0.15133600542211142,-0.15815235882022907,0.0,0.14750000000000002,0.04897176306220261
vqc,100,joint_mf,0,2.0,0.25,-0.12631480967085298,-0.12632739779504734,0.0,0.12625,0.0005120000000000001
vqc,100,capo_chance,1,2.0,0.25,-0.12894442901255893,-0.13767267411941975,0.0,0.12874999999999998,0.0015359999999999998
vqc,101,sequential,0,2.0,0.25,-0.23378945383804467,-0.2462795483634365,0.0,0.22999999999999998,0.047780990718593194
vqc,101,joint_mf,0,2.0,0.25,-0.252538242722297,-0.26232854441542536,0.0,0.24874999999999997,0.047780222718593196
vqc,101,capo_chance,0,2.0,0.25,-0.24878884828017087,-0.2559361683126741,0.0,0.24500000000000002,0.0477806067185932
vqc_cancer,100,sequential,0,2.0,0.25,-0.10383752134024431,-0.11652767784138668,0.0,0.1,0.04897272306220261
vqc_cancer,100,joint_mf,0,2.0,0.25,-0.12008572118746157,-0.13609502407774768,0.0,0.11625000000000003,0.0489715830622026
vqc_cancer,100,capo_chance,0,2.0,0.25,-0.12625202530221416,-0.13750244237522297,0.0,0.12625,1.6000000000000003e-05
vqc_cancer,101,sequential,0,2.0,0.25,-0.051288848280170864,-0.061809510837291984,0.0,0.04750000000000002,0.0477806067185932
vqc_cancer,101,joint_mf,1,2.0,0.25,-0.06128854550123396,-0.0678296328971995,0.0,0.057500000000000016,0.04778041471859319
vqc_cancer,101,capo_chance,0,2.0,0.25,-0.06262447362972663,-0.06265439178893918,0.0,0.0625,0.0010000000000000002
qaoa,100,sequential,0,2.0,0.5,-2.1702560836912888,-5.493077219965511,0.4,0.008612524879121541,1.4800399110536016
qaoa,100,joint_mf,1,2.0,0.5,-3.1100937297099263,-5.164479923592151,0.6,0.09431712859767867,0.10404529906220261
qaoa,100,capo_chance,1,2.0,0.5,-0.03859618429516355,-0.04711090501895445,0.0,0.0,0.30491199999999996
qaoa,101,sequential,0,2.0,0.5,-0.39462979064973713,-0.41494167322860187,0.1,0.0,0.6324147614238481
qaoa,101,joint_mf,0,2.0,0.5,-0.011390894457450574,-0.029171994666038426,0.0,0.010593463179069593,0.0062015841249376535
qaoa,101,capo_chance,1,2.0,0.5,-0.011418772398685724,-0.029305106257413924,0.0,0.010593463179069593,0.006589874858036637
qaoa_channel,100,sequential,1,2.0,0.5,-0.5962528246415713,-2.2674101372262627,0.2,0.0,1.3776399110536017
qaoa_channel,100,joint_mf,1,2.0,0.5,-0.0007367529273963401,-0.0009070808987147918,0.0,0.0,0.0058826670865528286
qaoa_channel,100,capo_chance,1,2.0,0.5,-0.0007186181815515755,-0.0009076456003178632,0.0,0.0,0.005691812024451792
qaoa_channel,101,sequential,0,2.0,0.5,-0.39462979064973713,-0.41494167322860187,0.1,0.0,0.6324147614238481
qaoa_channel,101,joint_mf,0,2.0,0.5,-0.00331786506789778,-0.01343946959617665,0.0,0.0026133532690555774,0.005655833170749247
qaoa_channel,101,capo_chance,1,2.0,0.5,-0.0033035681477826275,-0.01343850194086833,0.0,0.0026133532690555774,0.005526915367227048
qaoa_place,100,sequential,1,2.0,0.5,-0.6475864494954595,-2.2674101372262627,0.2,0.05133362485388822,1.3776399110536017
qaoa_place,100,joint_mf,1,2.0,0.5,-0.04298717033614472,-0.14176514348398564,0.0,0.027210569223897096,0.10404529906220261
qaoa_place,100,capo_chance,0,2.0,0.5,-0.027982159545632306,-0.03511629093418556,0.0,0.01224436593758563,0.10402072306220263
qaoa_place,101,sequential,0,2.0,0.5,-0.409112033211653,-0.42942391579051775,0.1,0.014482242561915826,0.6324147614238481
qaoa_place,101,joint_mf,0,2.0,0.5,-0.015103077417586264,-0.027014010666574287,0.0,0.014404078244829255,0.005570730019826442
qaoa_place,101,capo_chance,1,2.0,0.5,-0.024895146154308812,-0.03493916427683129,0.0,0.012419148840062049,0.06280441471859319
vqc,100,sequential,0,2.0,0.5,-0.15133600542211142,-0.15815235882022907,0.0,0.14750000000000002,0.04897176306220261
vqc,100,joint_mf,0,2.0,0.5,-0.12631480967085298,-0.12632739779504734,0.0,0.12625,0.0005120000000000001
vqc,100,capo_chance,1,2.0,0.5,-0.12894442901255893,-0.13767267411941975,0.0,0.12874999999999998,0.0015359999999999998
vqc,101,sequential,0,2.0,0.5,-0.23378945383804467,-0.2462795483634365,0.0,0.22999999999999998,0.047780990718593194
vqc,101,joint_mf,0,2.0,0.5,-0.252538242722297,-0.26232854441542536,0.0,0.24874999999999997,0.047780222718593196
vqc,101,capo_chance,0,2.0,0.5,-0.24878884828017087,-0.2559361683126741,0.0,0.24500000000000002,0.0477806067185932
vqc_cancer,100,sequential,0,2.0,0.5,-0.10383752134024431,-0.11652767784138668,0.0,0.1,0.04897272306220261
vqc_cancer,100,joint_mf,0,2.0,0.5,-0.12008572118746157,-0.13609502407774768,0.0,0.11625000000000003,0.0489715830622026
vqc_cancer,100,capo_chance,0,2.0,0.5,-0.12625202530221416,-0.13750244237522297,0.0,0.12625,1.6000000000000003e-05
vqc_cancer,101,sequential,0,2.0,0.5,-0.051288848280170864,-0.061809510837291984,0.0,0.04750000000000002,0.0477806067185932
vqc_cancer,101,joint_mf,1,2.0,0.5,-0.06128854550123396,-0.0678296328971995,0.0,0.057500000000000016,0.04778041471859319
vqc_cancer,101,capo_chance,0,2.0,0.5,-0.06262447362972663,-0.06265439178893918,0.0,0.0625,0.0010000000000000002
qaoa,100,sequential,0,2.0,0.75,-2.1702560836912888,-5.493077219965511,0.4,0.008612524879121541,1.4800399110536016
qaoa,100,joint_mf,1,2.0,0.75,-3.1100937297099263,-5.164479923592151,0.6,0.09431712859767867,0.10404529906220261
qaoa,100,capo_chance,1,2.0,0.75,-0.03859618429516355,-0.04711090501895445,0.0,0.0,0.30491199999999996
