experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,wall_s,cfg_p,cfg_opt_iters,cfg_warm_start,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10
exp1,qaoa_large,0,random,30.0,42.0,2221.9187611752045,19.649178374907933,1,20,0,2048,1,2,remote_sim,0.0,1.244592064310454,0.3,0.0,27.62144,1.1048576e-06,1.4103759471904538,0.0,-0.8376644626576795,-2.255217869732963
exp1,qaoa_large,0,joint_bo,30.0,42.0,1961.367273848141,6.373830541037023,1,40,0,8192,1,1,remote_sim,0.029727328742186993,2.203701162806369,0.45,0.1,55.24288,2.2097152e-06,2.535268928566369,0.05,-1.9103570441581574,-3.062834588018253
exp1,qaoa_large,0,joint_mf,30.0,44.16,425.5666185838739,3.2090867910301313,4,40,1,2048,1,2,remote_sim,0.005796633199426334,0.251688627949076,0.0,0.0,1.7742879999999999,7.097152000000003e-08,0.26233790452507605,0.0,-0.03185946003448442,-0.03555427390083801
exp1,qaoa_large,0,sequential,30.0,42.00000000000002,172.41056881631422,12.738205333938822,2,20,1,8192,1,2,local_sim,0.0,4.394304000000001,0.85,0.0,35.15443200000001,0.0,4.605230592,0.0,-2.1308957160302198,-2.63717015314323
exp1,qaoa_large,0,hand_designed,30.0,0.0,0.0,2.5220904590096325,1,40,0,512,0,1,qpu_A,0.22689252170591856,8.76994273719987,1.0,0.95,220.48000000000002,0.061439999999999995,13.16482273719987,0.1,-11.90297401496596,-12.786381869357642
exp1,qaoa_large,0,classical_only,30.0,0.0,0.0,0.02548929105978459,1,40,0,512,0,1,classical,0.49684399968503384,0.006028937466908246,0.0,0.8,0.04823149973526597,0.0,0.006318326465319842,0.0,-4.4975219878257615,-6.026096334228283
exp1,qaoa_large,1,random,30.0,42.0,45.49754078538776,0.7371123329503462,1,10,1,2048,0,1,remote_sim,0.02373606520748146,0.08020683052976497,0.0,0.0,1.381072,5.524288000000001e-08,0.08849602467376497,0.0,-0.03691896237561331,-0.16754494020165742
exp1,qaoa_large,1,joint_bo,30.0,42.0,121.40978290939715,7.158383458037861,2,20,0,2048,1,0,remote_sim,0.0,0.6345735083028666,0.25,0.0,30.242880000000003,1.2097152000000001e-06,0.8160912740628667,0.0,-0.7301843059687539,-2.238877617767034
exp1,qaoa_large,1,joint_mf,30.0,44.16,153.93965424469815,2.9230606670025736,4,80,1,8192,0,0,remote_sim,0.045370469643106134,0.09113317416745204,0.05,0.05,1.7742879999999999,7.097152000000003e-08,0.10178245074345205,0.05,-0.410080496521459,-0.0157570216993174
exp1,qaoa_large,1,sequential,30.0,42.00000000000002,406.5191840280265,99.59383133403026,4,160,0,2048,0,1,remote_sim,0.21291103500304082,5.4798264845000135,0.9,0.75,283.8860800000001,1.1355443200000002e-05,7.1837107366600135,0.35,-7.73879217064564,-9.995822116655104
