experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,wall_s,cfg_p,cfg_opt_iters,cfg_warm_start,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10
exp1,qaoa,6,random,30.0,42.0,99.00143990814544,7.321582791046239,2,20,1,2048,0,2,remote_sim,0.0,0.22438569199769504,0.05,0.0,1.2622880000000003,5.049152e-08,0.23196194457369498,0.0,-0.11864007344758169,-0.03228213773582497
exp1,qaoa,6,sequential,30.0,42.00000000000002,47.95373189596401,0.5611024170648307,3,40,1,2048,1,2,remote_sim,0.0,0.22441026799769498,0.05,0.0,1.2684320000000002,5.073728e-08,0.232023396861695,0.0,-0.118678172392673,-0.032321784552825895
exp1,qaoa,6,joint_bo,30.0,42.0,18.644708559061204,0.2062956669833511,3,80,1,2048,1,0,classical,0.14991317047558095,0.007515187200624496,0.0,0.1,0.060121497604995966,0.0,0.00787591618625447,0.0,-0.6507813056273201,-0.8003119000868921
exp1,qaoa,6,joint_mf,30.0,44.16,12.972488490863476,0.13614691607654095,2,40,1,512,1,0,remote_sim,0.006770450996350872,0.033326937007085805,0.0,0.0,1.2622880000000003,5.049152e-08,0.04090318958308581,0.0,-0.016253544705467585,-0.018546986362568657
exp1,qaoa,6,accuracy_only,30.0,33.0,392.3923796705382,0.8022111670579761,2,80,1,2048,0,1,qpu_A,0.0,2.395907155923521,0.5,0.05,7.048,0.006143999999999999,2.7453951559235206,0.0,-1.7673496610839396,-2.5449934516744332
exp1,qaoa,6,hand_designed,30.0,0.0,0.0,0.24937795905862004,1,40,0,512,0,1,qpu_A,0.013540901992701745,7.585742473977666,0.95,0.75,220.48000000000002,0.061439999999999995,11.980622473977665,0.05,-10.601935132780634,-12.185787863217984
exp1,qaoa,6,always_simulator,30.0,0.0,0.0,0.24846016708761454,1,40,0,512,0,1,local_sim,0.027150624165403165,3.982159999999999,0.85,0.05,31.857279999999992,0.0,4.173303680000001,0.0,-2.4369643552152365,-2.620921041564811
exp1,qaoa,6,classical_only,30.0,0.0,0.0,0.03498320805374533,1,40,0,512,0,1,classical,0.14991317047558095,0.00848720854264684,0.0,0.1,0.06789766834117472,0.0,0.008894594552693888,0.0,-0.6508947251859031,-0.8003562930843735
exp1,qaoa,6,oracle_placement,30.0,0.0,0.0,0.0,3,80,1,2048,1,0,remote_sim,0.0,0.03441026799769499,0.0,0.0,1.2684320000000002,5.073728e-08,0.042023396861695,0.0,-0.009225663955624647,-0.010654933465045162
exp1,qaoa,7,random,30.0,42.0,75.54348093900998,0.24971074995119125,3,20,1,512,0,1,classical,0.016555898761720034,0.008582260023104027,0.0,0.0,0.06865808018483222,0.0,0.00899420850421302,0.0,-0.017476565558999332,-0.025036167635416967
exp1,qaoa,7,sequential,30.0,42.00000000000002,72.10688589399986,0.569455667049624,1,40,1,128,0,2,remote_sim,0.025225377569341838,0.23726784172473053,0.0,0.0,1.256144,5.024576000000001e-08,0.2448072180127306,0.0,-0.0455802395911655,-0.057953853090132686
exp1,qaoa,7,joint_bo,30.0,42.0,30.399035923424783,0.14062891597859561,3,40,1,128,0,1,classical,0.016555898761720034,0.008322269946802408,0.0,0.0,0.06657815957441926,0.0,0.008721738904248922,0.0,-0.017440274575795174,-0.024941334758943945
exp1,qaoa,7,joint_mf,30.0,44.16,33.82633837750026,0.23702912498265505,2,80,1,512,0,1,classical,0.016555898761720034,0.009154104423942044,0.0,0.0,0.07323283539153636,0.0,0.009593501436291261,0.0,-0.0175336736848429,-0.025055706718723838
exp1,qaoa,7,accuracy_only,30.0,33.0,244.48378714716728,0.7962872920325026,1,20,0,128,0,0,remote_sim,0.027323738922136593,0.7846649070694474,0.3,0.0,25.122880000000002,1.0049152e-06,0.9354524328294473,0.0,-0.8302689653831944,-2.2515883955694407
exp1,qaoa,7,hand_designed,30.0,0.0,0.0,0.2567096670391038,1,40,0,512,0,1,qpu_A,0.0007229482393091603,7.463864880894538,0.95,0.8,220.48000000000002,0.061439999999999995,11.858744880894537,0.0,-10.774406114640708,-12.219827476289952
exp1,qaoa,7,always_simulator,30.0,0.0,0.0,0.2589577919570729,1,40,0,512,0,1,local_sim,0.0002891792957236641,3.982159999999999,0.85,0.05,31.857279999999992,0.0,4.173303680000001,0.0,-2.39895690548185,-2.656866049356118
exp1,qaoa,7,classical_only,30.0,0.0,0.0,0.034849957912229,1,40,0,512,0,1,classical,0.016555898761720034,0.008407406276091933,0.0,0.0,0.06725925020873547,0.0,0.008810961777344346,0.0,-0.01744690960644558,-0.024988831481877548
exp1,qaoa,7,oracle_placement,30.0,0.0,0.0,0.0,3,40,1,128,0,1,classical,0.016555898761720034,0.0085898227407597,0.0,0.0,0.0687185819260776,0.0,0.009002134232316166,0.0,-0.01747568744291936,-0.02506098784598378
