experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,wall_s,cfg_n_qubits,cfg_layers,cfg_reupload,cfg_train_iters,cfg_lr,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10
exp1,vqc,0,feasible_random,30.0,44.39999999999996,0.7375709332056856,3.722902875044383,4,2,0,30,0.15,2048,1,2,local_sim,0.285,0.00025600000000000004,0.0,0.0,0.0020480000000000003,0.0,0.00026828800000000004,0.0,-0.28502652875866474,-0.2875387898909734
exp1,vqc,0,joint_rf,30.0,42.0,0.6654751024563242,3.467405542032793,4,2,0,120,0.15,128,0,2,local_sim,0.22999999999999998,0.00025600000000000004,0.0,0.0,0.0020480000000000003,0.0,0.00026828800000000004,0.0,-0.23002652875866478,-0.2625255696652717
exp1,vqc,1,feasible_random,30.0,44.39999999999996,0.22411820996084256,0.08105325000360608,4,2,1,120,0.05,512,1,1,classical,0.1375,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1376241591280894,-0.1376606045089182
exp1,vqc,1,joint_rf,30.0,42.0,3.632737479381882,0.6123821249930188,6,2,1,60,0.05,2048,1,2,classical,0.1375,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1376241591280894,-0.1376606045089182
exp1,vqc,2,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.05440220807213336,6,3,0,120,0.15,128,0,1,classical,0.15,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1501120781442339,-0.15013862396430436
exp1,vqc,2,joint_rf,30.0,42.0,3.3092784013427132,1.6753710410557687,4,1,0,60,0.05,512,1,0,classical,0.15,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1501120781442339,-0.15013862396430436
exp1,vqc,3,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.046542624942958355,2,2,1,30,0.15,512,1,1,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.187613917233282,-0.18765932777218092
exp1,vqc,3,joint_rf,30.0,42.0,7.854134709621857,1.22655687504448,6,2,1,120,0.05,512,0,0,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.187613917233282,-0.18765932777218092
exp1,vqc,4,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.05045208299998194,6,2,1,60,0.15,512,0,1,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1876151802631581,-0.18765168703806384
exp1,vqc,4,joint_rf,30.0,42.0,3.781324529684651,1.7296008339617401,4,2,1,120,0.15,512,0,2,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1876151802631581,-0.18765168703806384
exp1,vqc,5,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.048354457947425544,4,1,0,30,0.05,128,0,1,classical,0.175,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1751239161515069,-0.1751596083371604
exp1,vqc,5,joint_rf,30.0,42.0,2.3217367888029417,1.1950222910381854,6,1,0,30,0.05,512,0,2,remote_sim,0.12937500000000002,0.08162151980910458,0.0,0.0,4.7999999999999994e-05,1.92e-12,0.08162180790510458,0.05,-0.13364541848267722,-0.12680093203636772
exp1,vqc,6,feasible_random,30.0,44.39999999999996,0.16401599999999988,0.04990224994253367,6,2,1,60,0.05,2048,0,1,classical,0.2,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.2001133666617553,-0.20015072788879565
