experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,cfg_p,cfg_opt_iters,cfg_warm_start,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10,size,eval_wall_s,search_wall_s
exp7,qaoa,0,random,10.0,24.0,213.20368775625164,2.0,40.0,0.0,128.0,0.0,0.0,classical,0.0683137051478892,0.005193374556256458,0.0,0.0,0.041546996450051665,0.0,0.005442656534956768,0.0,-0.06891393402017107,-0.13269527900127853,,,
exp7,qaoa,0,joint_bo,10.0,24.0,98.31430671257183,3.0,20.0,0.0,512.0,1.0,0.0,classical,0.0683137051478892,0.00513065597624518,0.0,0.0,0.04104524780996144,0.0,0.005376927463104949,0.0,-0.06890235252443958,-0.13254705912899725,,,
exp7,qaoa,0,joint_mf,10.0,24.0,64.15969546527464,1.0,80.0,1.0,512.0,0.0,1.0,remote_sim,0.017294994823695054,0.09770788409498996,0.0,0.0,1.256144,5.024576000000001e-08,0.10524726038298997,0.0,-0.03153650814017153,-0.12450470879792935,,,
exp7,qaoa,0,random,60.0,72.0,495.08690081073405,1.0,40.0,1.0,2048.0,1.0,1.0,local_sim,0.0,0.148304,0.0,0.0,1.186432,0.0,0.15542259199999997,0.0,-0.01616230754284193,-0.02054690595257348,,,
exp7,qaoa,0,joint_bo,60.0,72.0,51.60340533392377,2.0,40.0,1.0,2048.0,1.0,0.0,remote_sim,0.0,0.059640627949075986,0.0,0.0,1.2622880000000003,5.049152e-08,0.06721688052507599,0.0,-0.011278537578748709,-0.013665202363198736,,,
exp7,qaoa,0,joint_mf,60.0,72.72000000000014,130.99491856904103,3.0,40.0,1.0,512.0,1.0,0.0,remote_sim,0.0,0.057757036094989944,0.0,0.0,1.2684320000000002,5.073728e-08,0.06537016495898995,0.0,-0.011620026784222632,-0.014130286376372517,,,
exp7,qaoa,1,random,10.0,24.0,68.41323093651009,1.0,80.0,1.0,512.0,1.0,1.0,remote_sim,0.001895796175983597,0.07836455629951948,0.0,0.0,1.256144,5.024576000000001e-08,0.08590393258751947,0.0,-0.01413712504068847,-0.01722011867238903,,,
exp7,qaoa,1,joint_bo,10.0,24.0,15.97531231885521,3.0,20.0,1.0,512.0,0.0,2.0,local_sim,0.001895796175983597,0.4949119999999999,0.05,0.0,3.9592959999999993,0.0,0.5186677760000002,0.0,-0.15531352216165953,-0.08210793636431792,,,
exp7,qaoa,1,joint_mf,10.0,24.0,141.8235346187481,1.0,20.0,0.0,512.0,0.0,2.0,classical,0.053995897697301364,0.005380406219046563,0.0,0.0,0.0430432497523725,0.0,0.005638665717560798,0.0,-0.05471131655999177,-0.17632070186832102,,,
exp7,qaoa,1,random,60.0,72.0,258.0094618945414,2.0,40.0,1.0,512.0,0.0,0.0,classical,0.053995897697301364,0.005265989602776244,0.0,0.0,0.042127916822209954,0.0,0.005518757103709504,0.0,-0.05469731749309324,-0.17634750754121853,,,
exp7,qaoa,1,joint_bo,60.0,72.0,421.1136547339923,1.0,20.0,1.0,2048.0,0.0,0.0,remote_sim,0.0,0.03970711852976497,0.0,0.0,1.256144,5.024576000000001e-08,0.04724649481776497,0.0,-0.010016372492348685,-0.012605908112007735,,,
exp7,qaoa,1,joint_mf,60.0,72.72000000000014,192.49155053292023,1.0,80.0,1.0,512.0,1.0,0.0,classical,0.053995897697301364,0.005242333252681419,0.0,0.0,0.041938666021451354,0.0,0.005493965248810127,0.0,-0.05469419629079921,-0.17629498920288297,,,
exp7,qaoa,2,random,10.0,24.0,41.78442310722969,1.0,40.0,1.0,512.0,0.0,2.0,classical,0.02471943889591107,0.0055775626096874475,0.0,0.0,0.04462050087749958,0.0,0.005845285614952444,0.0,-0.025307171519801424,-0.02770181067603953,,,
exp7,qaoa,2,joint_bo,10.0,24.0,233.98149418938377,1.0,80.0,1.0,128.0,1.0,1.0,local_sim,0.30229521952048144,0.148304,0.05,0.05,1.186432,0.0,0.15542259199999997,0.0,-0.6696578358633167,-0.8307384763781905,,,
exp7,qaoa,2,joint_mf,10.0,24.0,97.56523278588014,3.0,40.0,0.0,512.0,1.0,0.0,classical,0.02471943889591107,0.005480083491420373,0.0,0.0,0.04384066793136299,0.0,0.005743127499008551,0.0,-0.025293387441706987,-0.027693956982590178,,,
