experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,cfg_n_qubits,cfg_layers,cfg_reupload,cfg_train_iters,cfg_lr,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10
exp7,vqc,0,random,10.0,24.0,8.660174311086704,4,3,0,120,0.05,2048,1,0,remote_sim,0.25562500000000005,0.046282067010505676,0.0,0.0,2.3999999999999997e-05,9.6e-13,0.046282211058505676,0.0,-0.2581999405787273,-0.2659785270192343
exp7,vqc,0,joint_bo,10.0,24.0,1.3028542660634927,4,3,0,120,0.05,128,0,0,qpu_B,0.268125,0.09228158827836978,0.0,0.0,5.128,0.00012800000000000002,0.1294495882783698,0.0,-0.3103294109629335,-0.3287529122098274
exp7,vqc,0,joint_mf,10.0,24.0,1.274429166383794,2,3,1,60,0.05,512,0,2,classical,0.3875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.38759764523778273,-0.3876467940384664
exp7,vqc,0,random,60.0,72.0,16.597003600981076,6,3,1,120,0.15,128,0,0,local_sim,0.34500000000000003,0.004608,0.0,0.0,0.036864,0.0,0.004829184,0.0,-0.3455230179216995,-0.36442757727416014
exp7,vqc,0,joint_bo,60.0,72.0,1.8924816696361173,4,1,0,60,0.05,2048,1,2,classical,0.3875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.38759764523778273,-0.3876467940384664
exp7,vqc,0,joint_mf,60.0,72.72000000000014,3.9028812597779425,4,3,0,120,0.15,2048,1,2,remote_sim,0.21187500000000004,0.046282067010505676,0.0,0.0,2.3999999999999997e-05,9.6e-13,0.046282211058505676,0.0,-0.21444994057872738,-0.21839608537836552
exp7,vqc,1,random,10.0,24.0,2.1150121479355186,4,2,0,120,0.05,512,0,2,qpu_B,0.17562500000000006,0.0937370262055444,0.0,0.0,5.5120000000000005,0.0005120000000000001,0.15240902620554442,0.0,-0.2409657172948553,-0.2540157529140422
exp7,vqc,1,joint_bo,10.0,24.0,3.0964528009978762,6,1,1,60,0.05,2048,0,2,local_sim,0.179375,0.0015359999999999998,0.0,0.0,0.012287999999999999,0.0,0.0016097280000000002,0.0,-0.17954410447110797,-0.18897249346226264
exp7,vqc,1,joint_mf,10.0,24.0,9.839172414199911,6,2,0,60,0.15,2048,0,1,local_sim,0.15062499999999995,0.0015359999999999998,0.0,0.0,0.012287999999999999,0.0,0.0016097280000000002,0.0,-0.15079410447110791,-0.16265746188041647
exp7,vqc,1,random,60.0,72.0,8.894114464019616,6,2,0,60,0.05,512,1,0,local_sim,0.11875,0.0015359999999999998,0.0,0.0,0.012287999999999999,0.0,0.0016097280000000002,0.0,-0.11891910447110794,-0.1251858495990387
