experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,wall_s,cfg_n_qubits,cfg_layers,cfg_reupload,cfg_train_iters,cfg_lr,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10,window,oracle_utility,regret,config_id,u_fid0,u_fid1,u_fid2,u_fid3
exp1,vqc,0,random,30.0,42.0,14.148852460001605,3.0903232080163434,6.0,2.0,1.0,30.0,0.05,512.0,1.0,2.0,remote_sim,0.371875,0.09704416368158893,0.0,0.0,0.00019199999999999998,7.68e-12,0.09704531606558893,0.05,-0.3781674603725415,-0.39330388929524496,,,,,,,,
exp1,vqc,0,sequential,30.0,42.00000000000002,2.1579467452687306,4.688683207961731,4.0,3.0,1.0,120.0,0.05,2048.0,0.0,2.0,local_sim,0.18124999999999997,0.0007679999999999999,0.0,0.0,0.006143999999999999,0.0,0.0008048640000000001,0.0,-0.18132958627599427,-0.20006590417066988,,,,,,,,
exp1,vqc,0,joint_bo,30.0,42.0,8.334687338664333,1.625572375021875,4.0,3.0,0.0,60.0,0.15,128.0,0.0,1.0,remote_sim,0.21125,0.046282067010505676,0.0,0.0,2.3999999999999997e-05,9.6e-13,0.046282211058505676,0.0,-0.21382494057872742,-0.24212894222553594,,,,,,,,
exp1,vqc,0,joint_mf,30.0,44.16,13.657363881558057,3.0576825420139357,4.0,2.0,0.0,60.0,0.05,512.0,1.0,0.0,remote_sim,0.20812499999999998,0.04628203501050567,0.0,0.0,1.6000000000000003e-05,6.400000000000002e-13,0.04628213104250567,0.0,-0.21069989078263252,-0.22817719846928722,,,,,,,,
exp1,vqc,0,accuracy_only,30.0,33.0,1.041058198395925,0.38520699995569885,6.0,3.0,1.0,120.0,0.05,512.0,1.0,0.0,classical,0.3875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.38759764523778273,-0.3876467940384664,,,,,,,,
exp1,vqc,0,hand_designed,30.0,0.0,0.0,0.5317169589689001,4.0,2.0,0.0,60.0,0.05,512.0,0.0,1.0,qpu_A,0.22062500000000002,0.22645625342098902,0.0,0.0,5.5120000000000005,0.0015359999999999998,0.33632825342098904,0.0,-0.3429220472030769,-0.3553273974172557,,,,,,,,
exp1,vqc,0,always_simulator,30.0,0.0,0.0,0.5337934580165893,4.0,2.0,0.0,60.0,0.05,512.0,0.0,1.0,local_sim,0.21187499999999998,0.00025600000000000004,0.0,0.0,0.0020480000000000003,0.0,0.00026828800000000004,0.0,-0.21190152875866475,-0.22502962707088695,,,,,,,,
exp1,vqc,0,classical_only,30.0,0.0,0.0,0.009043083991855383,4.0,2.0,0.0,60.0,0.05,512.0,0.0,1.0,classical,0.3875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.38759764523778273,-0.3876467940384664,,,,,,,,
exp1,vqc,0,oracle_placement,30.0,0.0,0.0,0.0,4.0,3.0,0.0,60.0,0.15,128.0,0.0,1.0,local_sim,0.21125,0.00038399999999999996,0.0,0.0,0.0030719999999999996,0.0,0.00040243200000000004,0.0,-0.21128979313799717,-0.23878835449790764,,,,,,,,
exp1,vqc,1,random,30.0,42.0,6.113110148864681,1.7651997079374269,6.0,1.0,1.0,30.0,0.05,2048.0,1.0,2.0,local_sim,0.11562500000000005,0.0015359999999999998,0.0,0.0,0.012287999999999999,0.0,0.0016097280000000002,0.0,-0.11579410447110797,-0.12522801006029807,,,,,,,,
exp1,vqc,1,sequential,30.0,42.00000000000002,1.9709669015434887,3.5560240419581532,6.0,1.0,0.0,30.0,0.05,512.0,0.0,2.0,local_sim,0.12062499999999998,0.0007679999999999999,0.0,0.0,0.006143999999999999,0.0,0.0008048640000000001,0.0,-0.12070955223555398,-0.13887361116984587,,,,,,,,
exp1,vqc,1,joint_bo,30.0,42.0,6.579319268177239,2.0642055839998648,6.0,2.0,0.0,60.0,0.05,128.0,1.0,0.0,remote_sim,0.12125,0.02305823797498538,0.0,0.0,9.599999999999999e-05,3.84e-12,0.023058814166985377,0.0,-0.12267033499937711,-0.12947485173373266,,,,,,,,
exp1,vqc,1,joint_mf,30.0,44.16,5.172445767822143,1.454194916994311,6.0,3.0,0.0,60.0,0.05,128.0,1.0,0.0,classical,0.1375,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1376241591280894,-0.1376606045089182,,,,,,,,
exp1,vqc,1,accuracy_only,30.0,33.0,2.6063038272055534,0.5392305420245975,6.0,3.0,1.0,30.0,0.15,512.0,1.0,2.0,classical,0.1375,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1376241591280894,-0.1376606045089182,,,,,,,,
exp1,vqc,1,hand_designed,30.0,0.0,0.0,0.5843160840449855,4.0,2.0,0.0,60.0,0.05,512.0,0.0,1.0,qpu_A,0.24749999999999997,0.2220614753184628,0.05,0.0,5.5120000000000005,0.0015359999999999998,0.3319334753184628,0.0,-0.47293989621066135,-0.3892122435400278,,,,,,,,
exp1,vqc,1,always_simulator,30.0,0.0,0.0,0.5801155410008505,4.0,2.0,0.0,60.0,0.05,512.0,0.0,1.0,local_sim,0.25437499999999996,0.00025600000000000004,0.0,0.0,0.0020480000000000003,0.0,0.00026828800000000004,0.0,-0.25440460053212416,-0.26252927043144475,,,,,,,,
exp1,vqc,1,classical_only,30.0,0.0,0.0,0.008879542001523077,4.0,2.0,0.0,60.0,0.05,512.0,0.0,1.0,classical,0.1375,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1376241591280894,-0.1376606045089182,,,,,,,,
exp1,vqc,1,oracle_placement,30.0,0.0,0.0,0.0,6.0,2.0,0.0,60.0,0.05,128.0,1.0,0.0,local_sim,0.12125,0.0015359999999999998,0.0,0.0,0.012287999999999999,0.0,0.0016097280000000002,0.0,-0.12141910447110793,-0.1264913180727636,,,,,,,,
exp1,vqc,2,random,30.0,42.0,12.726378970616658,1.8468798330286518,2.0,2.0,0.0,120.0,0.15,2048.0,0.0,2.0,classical,0.15,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1501120781442339,-0.15013862396430436,,,,,,,,
exp1,vqc,2,sequential,30.0,42.00000000000002,2.6873561476619066,5.8724057079525664,6.0,3.0,0.0,60.0,0.05,128.0,1.0,1.0,local_sim,0.18687499999999999,0.002304,0.0,0.0,0.018432,0.0,0.002414592,0.0,-0.18714808313394046,-0.212711607977988,,,,,,,,
exp1,vqc,2,joint_bo,30.0,42.0,12.871007797807255,5.120405542082153,6.0,3.0,0.0,120.0,0.05,128.0,0.0,0.0,qpu_B,0.24187499999999998,0.06915898503730428,0.0,0.0,5.128,0.00012800000000000002,0.10632698503730427,0.0,-0.2829353839521931,-0.3042833945332249,,,,,,,,
exp1,vqc,2,joint_mf,30.0,44.16,2.3587985063488253,0.7009837919613346,6.0,3.0,1.0,30.0,0.05,128.0,1.0,1.0,classical,0.15,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1501120781442339,-0.15013862396430436,,,,,,,,
exp1,vqc,2,accuracy_only,30.0,33.0,2.7170881239198117,0.5986449170159176,6.0,3.0,0.0,60.0,0.15,128.0,1.0,2.0,classical,0.15,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1501120781442339,-0.15013862396430436,,,,,,,,
exp1,vqc,2,hand_designed,30.0,0.0,0.0,0.5690597500652075,4.0,2.0,0.0,60.0,0.05,512.0,0.0,1.0,qpu_A,0.23437499999999994,0.26635759441971324,0.0,0.0,5.5120000000000005,0.0015359999999999998,0.3762295944197132,0.05,-0.36443209195321213,-0.37212636775173324,,,,,,,,
exp1,vqc,2,always_simulator,30.0,0.0,0.0,0.5713947500335053,4.0,2.0,0.0,60.0,0.05,512.0,0.0,1.0,local_sim,0.22000000000000003,0.00025600000000000004,0.0,0.0,0.0020480000000000003,0.0,0.00026828800000000004,0.0,-0.22003038720928267,-0.23754080152783003,,,,,,,,
exp1,vqc,2,classical_only,30.0,0.0,0.0,0.009945000056177378,4.0,2.0,0.0,60.0,0.05,512.0,0.0,1.0,classical,0.15,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1501120781442339,-0.15013862396430436,,,,,,,,
exp1,vqc,2,oracle_placement,30.0,0.0,0.0,0.0,6.0,3.0,0.0,120.0,0.05,128.0,0.0,0.0,classical,0.15,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1501120781442339,-0.15013862396430436,,,,,,,,
exp1,vqc,3,random,30.0,42.0,6.062174080011202,2.7893470000708476,6.0,3.0,0.0,60.0,0.15,128.0,1.0,1.0,local_sim,0.19125,0.002304,0.0,0.0,0.018432,0.0,0.002414592,0.0,-0.1914913777872876,-0.20033907438422138,,,,,,,,
exp1,vqc,3,sequential,30.0,42.00000000000002,3.0066958912761717,6.16751587507315,6.0,3.0,0.0,60.0,0.05,2048.0,1.0,2.0,local_sim,0.15625,0.002304,0.0,0.0,0.018432,0.0,0.002414592,0.0,-0.15649137778728756,-0.16276350049059296,,,,,,,,
exp1,vqc,3,joint_bo,30.0,42.0,4.154799738228642,2.6728202080121264,4.0,2.0,0.0,120.0,0.05,128.0,0.0,1.0,local_sim,0.1925,0.00025600000000000004,0.0,0.0,0.0020480000000000003,0.0,0.00026828800000000004,0.0,-0.19252868347809896,-0.21253400684745413,,,,,,,,
exp1,vqc,3,joint_mf,30.0,44.16,4.646847901292033,2.2593123340047896,6.0,1.0,1.0,60.0,0.05,128.0,1.0,0.0,remote_sim,0.1775,0.03738024587594752,0.0,0.0,9.599999999999999e-05,3.84e-12,0.037380822067947524,0.0,-0.17951716411291432,-0.20197744483250854,,,,,,,,
exp1,vqc,3,accuracy_only,30.0,33.0,1.237074912633652,0.5548786669969559,2.0,3.0,0.0,30.0,0.15,2048.0,1.0,2.0,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.187613917233282,-0.18765932777218092,,,,,,,,
exp1,vqc,3,hand_designed,30.0,0.0,0.0,1.0190029159421101,4.0,2.0,0.0,60.0,0.05,512.0,0.0,1.0,qpu_A,0.206875,0.17895677539447502,0.0,0.0,5.5120000000000005,0.0015359999999999998,0.28882877539447505,0.0,-0.32788735795978663,-0.33861052768331434,,,,,,,,
exp1,vqc,3,always_simulator,30.0,0.0,0.0,0.5887360830092803,4.0,2.0,0.0,60.0,0.05,512.0,0.0,1.0,local_sim,0.21000000000000002,0.00025600000000000004,0.0,0.0,0.0020480000000000003,0.0,0.00026828800000000004,0.0,-0.21002868347809894,-0.22503073702069296,,,,,,,,
exp1,vqc,3,classical_only,30.0,0.0,0.0,0.009459750028327107,4.0,2.0,0.0,60.0,0.05,512.0,0.0,1.0,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.187613917233282,-0.18765932777218092,,,,,,,,
exp1,vqc,3,oracle_placement,30.0,0.0,0.0,0.0,4.0,2.0,0.0,120.0,0.05,128.0,0.0,1.0,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.187613917233282,-0.18765932777218092,,,,,,,,
exp1,vqc,4,random,30.0,42.0,15.985885661981568,1.0121715419227257,2.0,1.0,0.0,30.0,0.05,2048.0,1.0,1.0,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1876151802631581,-0.18765168703806384,,,,,,,,
exp1,vqc,4,sequential,30.0,42.00000000000002,3.655732814577825,5.382359041948803,6.0,2.0,0.0,60.0,0.05,512.0,1.0,0.0,local_sim,0.185625,0.0015359999999999998,0.0,0.0,0.012287999999999999,0.0,0.0016097280000000002,0.0,-0.18579866395929776,-0.18773724131577868,,,,,,,,
exp1,vqc,4,joint_bo,30.0,42.0,7.793205986536266,3.261396583984606,6.0,2.0,1.0,60.0,0.15,512.0,1.0,2.0,remote_sim,0.200625,0.03249476001538894,0.0,0.0,0.00019199999999999998,7.68e-12,0.03249591239938894,0.0,-0.20269801252093292,-0.20392578737045303,,,,,,,,
exp1,vqc,4,joint_mf,30.0,44.16,1.4977756228515544,1.0931732909521088,2.0,3.0,1.0,30.0,0.05,128.0,0.0,0.0,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1876151802631581,-0.18765168703806384,,,,,,,,
exp1,vqc,4,accuracy_only,30.0,33.0,4.66770851326815,0.9768594999331981,6.0,1.0,1.0,120.0,0.05,2048.0,1.0,0.0,classical,0.1875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.1876151802631581,-0.18765168703806384,,,,,,,,
