experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,wall_s,cfg_n_qubits,cfg_layers,cfg_reupload,cfg_train_iters,cfg_lr,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10
exp1,vqc,6,random,30.0,42.0,3.459392458467728,5.283213750110008,6,1,0,120,0.15,512,0,2,local_sim,0.20437499999999997,0.0007679999999999999,0.0,0.0,0.006143999999999999,0.0,0.0008048640000000001,0.0,-0.20445201127146895,-0.22509869024614912
exp1,vqc,6,sequential,30.0,42.00000000000002,5.924244669745443,17.131240624934435,6,3,1,120,0.15,2048,1,1,local_sim,0.113125,0.004608,0.0,0.0,0.036864,0.0,0.004829184,0.0,-0.11358706762881361,-0.12547052146460339
exp1,vqc,6,joint_bo,30.0,42.0,5.986588781150779,27.20319279190153,6,3,1,120,0.15,128,1,1,local_sim,0.12062500000000002,0.004608,0.0,0.0,0.036864,0.0,0.004829184,0.0,-0.1210870676288136,-0.13794330918000614
exp1,vqc,6,joint_mf,30.0,44.16,7.788113789823803,2.9153949579922482,6,2,0,120,0.05,128,1,1,classical,0.2,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.2001133666617553,-0.20015072788879565
exp1,vqc,6,accuracy_only,30.0,33.0,8.330670075318245,35.87371879199054,6,3,0,120,0.15,2048,1,1,qpu_A,0.1,1.3306077985202045,0.3,0.05,11.144000000000002,0.018432,2.3190717985202047,0.0,-2.0128555964053265,-3.201678123752785
exp1,vqc,6,hand_designed,30.0,0.0,0.0,0.5672451249556616,4,2,0,60,0.05,512,0,1,qpu_A,0.27125,0.20738255558572072,0.05,0.0,5.5120000000000005,0.0015359999999999998,0.3172545555857207,0.0,-0.49474150353573226,-0.4100117184891171
exp1,vqc,6,always_simulator,30.0,0.0,0.0,0.6019114590017125,4,2,0,60,0.05,512,0,1,local_sim,0.2675,0.00025600000000000004,0.0,0.0,0.0020480000000000003,0.0,0.00026828800000000004,0.0,-0.2675286208895093,-0.28752744679154263
exp1,vqc,6,classical_only,30.0,0.0,0.0,0.011613458977080882,4,2,0,60,0.05,512,0,1,classical,0.2,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.2001133666617553,-0.20015072788879565
exp1,vqc,6,oracle_placement,30.0,0.0,0.0,0.0,6,3,1,120,0.15,128,1,1,local_sim,0.12062500000000002,0.004608,0.0,0.0,0.036864,0.0,0.004829184,0.0,-0.1210870676288136,-0.13794330918000614
exp1,vqc,7,random,30.0,42.0,4.31876823938884,1.3504737500334159,2,1,1,120,0.05,2048,0,1,local_sim,0.17625000000000002,3.2000000000000005e-05,0.0,0.0,0.00025600000000000004,0.0,3.3536000000000006e-05,0.0,-0.1762536220308486,-0.18750197118618037
exp1,vqc,7,sequential,30.0,42.00000000000002,4.158492286614139,3.42546466703061,6,2,0,60,0.05,2048,1,2,classical,0.2,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.20011489957306433,-0.2001549748675904
exp1,vqc,7,joint_bo,30.0,42.0,5.164498034395061,3.6464908339548856,4,3,0,120,0.05,2048,1,1,remote_sim,0.174375,0.0317388835800828,0.0,0.0,2.3999999999999997e-05,9.6e-13,0.0317390276280828,0.0,-0.1767397320809023,-0.1787777689264798
exp1,vqc,7,joint_mf,30.0,44.16,3.321979080021292,0.8739739169832319,2,2,1,30,0.15,2048,0,1,local_sim,0.175,6.400000000000001e-05,0.0,0.0,0.0005120000000000001,0.0,6.707200000000001e-05,0.0,-0.1750072440616972,-0.17500984127936633
exp1,vqc,7,accuracy_only,30.0,33.0,7.788386187026546,2.986145249917172,6,2,1,60,0.05,128,1,1,qpu_A,0.159375,0.16861370092896358,0.0,0.0,5.384,0.001152,0.2585177009289636,0.0,-0.2603731849759056,-0.28581067293866147
exp1,vqc,7,hand_designed,30.0,0.0,0.0,0.5803279170067981,4,2,0,60,0.05,512,0,1,qpu_A,0.20437500000000003,0.20763822658781148,0.0,0.0,5.5120000000000005,0.0015359999999999998,0.31751022658781153,0.0,-0.3277309671738805,-0.3386736054702752
exp1,vqc,7,always_simulator,30.0,0.0,0.0,0.5986179999308661,4,2,0,60,0.05,512,0,1,local_sim,0.205625,0.00025600000000000004,0.0,0.0,0.0020480000000000003,0.0,0.00026828800000000004,0.0,-0.20565677909540833,-0.21253827441005105
exp1,vqc,7,classical_only,30.0,0.0,0.0,0.010627583018504083,4,2,0,60,0.05,512,0,1,classical,0.2,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.20011489957306433,-0.2001549748675904
exp1,vqc,7,oracle_placement,30.0,0.0,0.0,0.0,4,3,0,120,0.05,2048,1,1,local_sim,0.174375,0.00038399999999999996,0.0,0.0,0.0030719999999999996,0.0,0.00040243200000000004,0.0,-0.1744226686431125,-0.17506245471124363
exp1,vqc,8,random,30.0,42.0,12.486275437969518,1.649787375004962,2,1,0,60,0.15,2048,1,1,classical,0.125,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.12511974743190035,-0.1251538671345697
exp1,vqc,8,sequential,30.0,42.00000000000002,3.8600276193634198,4.749805875006132,6,2,1,60,0.05,2048,0,0,remote_sim,0.086875,0.05051956689008602,0.0,0.0,0.00019199999999999998,7.68e-12,0.05052071927408601,0.0,-0.08976664307211266,-0.09270350472496824
exp1,vqc,8,joint_bo,30.0,42.0,9.904442770854699,1.562136166030541,4,1,0,60,0.15,2048,0,2,remote_sim,0.11937500000000001,0.051282890988119924,0.0,0.0,8.000000000000001e-06,3.200000000000001e-13,0.05128293900411992,0.0,-0.12277344564185026,-0.1295125018643069
exp1,vqc,8,joint_mf,30.0,44.16,5.45783470074272,0.6601836669724435,2,2,1,30,0.15,2048,1,2,classical,0.125,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.12511974743190035,-0.1251538671345697
exp1,vqc,8,accuracy_only,30.0,33.0,39.44703052116233,3.7216013750294223,6,1,1,120,0.05,2048,1,2,qpu_A,0.10687500000000001,1.4440112303154276,0.35,0.15,11.144000000000002,0.018432,2.4324752303154282,0.0,-2.6350838681687114,-6.15783031706164
exp1,vqc,8,hand_designed,30.0,0.0,0.0,0.5694479999365285,4,2,0,60,0.05,512,0,1,qpu_A,0.10375000000000001,0.33240840154665435,0.0,0.0,5.5120000000000005,0.0015359999999999998,0.44228040154665427,0.0,-0.2355252657475623,-0.2489956628232763
exp1,vqc,8,always_simulator,30.0,0.0,0.0,0.5678393340203911,4,2,0,60,0.05,512,0,1,local_sim,0.10625000000000002,0.00025600000000000004,0.0,0.0,0.0020480000000000003,0.0,0.00026828800000000004,0.0,-0.10627962340084751,-0.11253660183651755
exp1,vqc,8,classical_only,30.0,0.0,0.0,0.009110875078476965,4,2,0,60,0.05,512,0,1,classical,0.125,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.12511974743190035,-0.1251538671345697
exp1,vqc,8,oracle_placement,30.0,0.0,0.0,0.0,4,1,0,60,0.15,2048,0,2,remote_sim,0.11937500000000001,0.051282890988119924,0.0,0.0,8.000000000000001e-06,3.200000000000001e-13,0.05128293900411992,0.0,-0.12277344564185026,-0.1295125018643069
exp1,vqc,9,random,30.0,42.0,6.18699344207629,2.0657311249524355,4,2,0,30,0.05,128,1,0,remote_sim,0.16375,0.02834685874871106,0.0,0.0,1.6000000000000003e-05,6.400000000000002e-13,0.028346954780711066,0.0,-0.16564473529588142,-0.1674591401050415
exp1,vqc,9,sequential,30.0,42.00000000000002,10.892651553490975,5.352612667018548,4,2,0,120,0.05,2048,0,1,local_sim,0.14312499999999995,0.00025600000000000004,0.0,0.0,0.0020480000000000003,0.0,0.00026828800000000004,0.0,-0.143154044968654,-0.15003682482573266
exp1,vqc,9,joint_bo,30.0,42.0,4.701652667514841,1.0730705000460148,4,1,1,60,0.15,512,1,1,local_sim,0.14125000000000001,0.00025600000000000004,0.0,0.0,0.0020480000000000003,0.0,0.00026828800000000004,0.0,-0.141279044968654,-0.15003664822638724
exp1,vqc,9,joint_mf,30.0,44.16,4.381183462665215,4.565683875000104,6,1,1,60,0.05,128,1,0,remote_sim,0.13874999999999998,0.02839881636127988,0.0,0.0,9.599999999999999e-05,3.84e-12,0.028399392553279883,0.0,-0.14055467242947653,-0.15217071036479407
exp1,vqc,9,accuracy_only,30.0,33.0,0.8870468826610456,3.25729916698765,6,1,0,60,0.05,128,1,0,remote_sim,0.13874999999999998,0.028398624361279885,0.0,0.0,4.7999999999999994e-05,1.92e-12,0.02839891245727988,0.0,-0.14055437220232103,-0.1521704013348417
exp1,vqc,9,hand_designed,30.0,0.0,0.0,0.6095875840401277,4,2,0,60,0.05,512,0,1,qpu_A,0.150625,0.23273814116075453,0.05,0.0,5.5120000000000005,0.0015359999999999998,0.3426101411607546,0.0,-0.37648371480852816,-0.2860872423817418
