experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,wall_s,cfg_p,cfg_opt_iters,cfg_warm_start,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10
exp1,qaoa_xl,3,joint_mf,12.0,24.0,1016.9687072656255,20.904456124990247,3,80,1,512,1,2,qpu_B,0.1487409422297582,0.8691327750667861,0.3,0.8,6.536,0.0015359999999999998,0.9851487750667861,0.05,-4.931160450367448,-7.23205334762572
exp1,qaoa_xl,3,random,12.0,24.0,45.04668866721208,12.783447416964918,1,80,1,512,0,1,qpu_B,0.06064209500748241,0.6167156708038345,0.15,0.7,5.5120000000000005,0.0005120000000000001,0.6753876708038344,0.05,-3.9669420786546588,-7.0951825096178185
exp1,qaoa_xl,3,classical_only,12.0,0.0,0.0,0.051138499984517694,1,40,0,512,0,1,classical,1.357473476179188,0.00983932224335149,0.0,0.95,0.07871457794681191,0.0,0.01031160971103236,0.0,-6.108584618082273,-7.578369938401038
exp1,qaoa_xl,4,joint_mf,12.0,24.0,10684.878222281308,110.72815666592214,1,40,0,2048,1,0,remote_sim,0.6184674609251973,2.0351556471768184,0.65,0.55,154.8576,6.194304000000002e-06,2.9646109623768186,0.1,-5.7346883472294055,-9.888879671155049
exp1,qaoa_xl,4,random,12.0,24.0,8923.99801330855,53.16655449999962,1,20,0,512,0,1,remote_sim,1.1858752629156488,1.0613310580190063,0.4,0.8,77.4288,3.097152000000001e-06,1.5260587156190064,0.0,-6.509533807403838,-9.542127486840677
exp1,qaoa_xl,4,classical_only,12.0,0.0,0.0,0.04057779104914516,1,40,0,512,0,1,classical,4.148389233258053,0.007729936682153493,0.0,1.0,0.061839493457227945,0.0,0.008100973642896862,0.0,-9.149298969624745,-10.703387105902175
exp1,qaoa_xl,5,joint_mf,12.0,24.0,338.8746839288491,65.54442737495992,3,80,1,2048,0,1,remote_sim,0.06483507831461575,0.11745646002221162,0.0,0.0,9.114319999999998,3.6457280000000003e-07,0.17216060866221164,0.0,-0.12567451846112526,-0.24084777866644097
exp1,qaoa_xl,5,random,12.0,24.0,21880.322935100983,155.96044300007634,1,40,0,128,1,2,qpu_A,0.6748113606077755,10.51105491996606,1.0,0.95,215.36000000000004,0.04608,14.10721491996606,0.1,-11.574214015275711,-13.633196074073872
exp1,qaoa_xl,5,classical_only,12.0,0.0,0.0,0.04048949992284179,1,40,0,512,0,1,classical,1.1456187945623262,0.007676115084905177,0.0,0.75,0.06140892067924142,0.0,0.008044568608980627,0.0,-4.896469005806734,-7.807003149707787
exp1,qaoa_xl,6,joint_mf,12.0,24.0,32413.505735549672,101.2572284169728,1,40,1,2048,1,2,classical,1.7763440748284878,0.007730864454060793,0.0,0.95,0.06184691563248634,0.0,0.00810194594785571,0.0,-6.527155999253826,-7.837557697386204
exp1,qaoa_xl,6,random,12.0,24.0,31672.581464893985,37.28849083301611,2,20,1,2048,0,2,remote_sim,0.9628274843698928,0.24530805999769498,0.1,0.8,6.492880000000001,2.597152000000001e-07,0.28427832575769496,0.0,-5.213902459738543,-6.40305315850845
exp1,qaoa_xl,6,classical_only,12.0,0.0,0.0,0.040410749963484704,1,40,0,512,0,1,classical,1.7763440748284878,0.007711010344792157,0.0,0.95,0.06168808275833726,0.0,0.008081138841342182,0.0,-6.527155305473235,-7.83760569666445
exp1,qaoa_xl,7,joint_mf,12.0,24.0,29.62811968656683,38.52583275001962,1,20,0,2048,1,2,remote_sim,0.10908686854554348,1.2678578506572342,0.5,0.5,77.4288,3.097152000000001e-06,1.732585508257234,0.05,-4.161390865710729,-7.611135128425501
exp1,qaoa_xl,7,random,12.0,24.0,65.51073593596624,32.07103437499609,3,20,1,512,0,1,classical,2.1091693002784972,0.007649124978343025,0.0,1.0,0.0611929998267442,0.0,0.008016282977303491,0.0,-7.110023595016315,-8.974623995430616
exp1,qaoa_xl,7,classical_only,12.0,0.0,0.0,0.03953116596676409,1,40,0,512,0,1,classical,2.1091693002784972,0.0075461141532287,0.0,1.0,0.0603689132258296,0.0,0.007908327632583676,0.0,-7.110012911086178,-8.9746024952532
exp1,qaoa_xl,8,joint_mf,12.0,24.0,2.185340190830301,1.505408874945715,1,20,1,2048,0,2,remote_sim,0.024266997333464334,0.2655451923176854,0.0,0.0,3.871440000000001,1.548576e-07,0.2887815751976854,0.0,-0.06611731323380829,-0.12223495647113952
exp1,qaoa_xl,8,random,12.0,24.0,75.42449757724096,31.388873415999115,1,80,1,2048,0,0,classical,1.6037271010325198,0.007713801722275093,0.0,0.95,0.061710413778200746,0.0,0.008084064204944298,0.0,-6.354525274744723,-7.957466008124963
exp1,qaoa_xl,8,classical_only,12.0,0.0,0.0,0.03964679199270904,1,40,0,512,0,1,classical,1.6037271010325198,0.007548448513261974,0.0,0.95,0.06038758810609579,0.0,0.00791077404189855,0.0,-6.35450762444752,-7.957450938478346
exp1,qaoa_xl,9,joint_mf,12.0,24.0,10623.28518379845,52.53300783294253,1,80,1,512,1,0,qpu_B,0.25149523021147174,0.2769474238553668,0.0,0.75,6.536,0.0015359999999999998,0.39296342385536687,0.0,-4.136630394415606,-5.645603636561355
exp1,qaoa_xl,9,random,12.0,24.0,606.1851559508323,66.55109800002538,3,20,1,2048,1,1,qpu_B,0.18244231801642644,0.7804557304897672,0.4,0.55,11.144000000000002,0.006143999999999999,1.1545197304897672,0.0,-4.150615243299278,-7.464545419124761
exp1,qaoa_xl,9,classical_only,12.0,0.0,0.0,0.03917983395513147,1,40,0,512,0,1,classical,1.6377884293572174,0.007470104581443593,0.0,1.0,0.05976083665154874,0.0,0.007828669601352886,0.0,-6.638603505892351,-8.007191843563193
