experiment,workload,seed,method,budget,search_cost_units,search_cost_modeled_s,wall_s,cfg_n_qubits,cfg_layers,cfg_reupload,cfg_train_iters,cfg_lr,cfg_shots,cfg_mitigation,cfg_compile_level,cfg_placement,quality_loss,delay_s,deadline_miss,infeasible,energy_j,money,cost_scalar,realized_fail,utility,utility_p10,window,oracle_utility,regret,config_id,u_fid0,u_fid1,u_fid2,u_fid3
exp1,vqc,0,random,8.0,8.0,0.7410241536984906,1.550424583023414,6.0,2.0,1.0,30.0,0.05,512.0,1.0,2.0,remote_sim,0.47750000000000004,0.04517750612488788,0.0,0.0,0.00019199999999999998,7.68e-12,0.04517865850888787,0.0,-0.4806890874987423,-0.49070715095798256,,,,,,,,
exp1,vqc,0,sequential,8.0,9.099999999999998,0.9388890336420522,1.3852817500010133,2.0,1.0,0.0,120.0,0.15,2048.0,0.0,0.0,remote_sim,0.44937499999999986,0.04517674212488788,0.0,0.0,1.0000000000000002e-06,4.000000000000001e-14,0.04517674812688787,0.0,-0.45256288432585834,-0.4558834196504624,,,,,,,,
exp1,vqc,0,joint_bo,8.0,8.0,0.9014179204380379,0.34489095804747194,6.0,2.0,0.0,120.0,0.15,128.0,0.0,0.0,classical,0.3875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.38759764523778273,-0.3876467940384664,,,,,,,,
exp1,vqc,0,joint_mf,8.0,8.0,0.07725865872655718,0.04441162501461804,2.0,1.0,0.0,30.0,0.15,128.0,1.0,0.0,classical,0.3875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.38759764523778273,-0.3876467940384664,,,,,,,,
exp1,vqc,0,accuracy_only,8.0,8.0,3.6103637421598065,0.3009082080097869,2.0,1.0,0.0,30.0,0.05,2048.0,0.0,0.0,classical,0.3875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.38759764523778273,-0.3876467940384664,,,,,,,,
exp1,vqc,0,hand_designed,8.0,0.0,0.0,0.44213779200799763,4.0,2.0,0.0,60.0,0.05,512.0,0.0,1.0,qpu_A,0.478125,0.23704071290356032,0.0,0.0,5.5120000000000005,0.0015359999999999998,0.3469127129035604,0.0,-0.6016807604958999,-0.6147415748823378,,,,,,,,
exp1,vqc,0,always_simulator,8.0,0.0,0.0,0.4561862499685958,4.0,2.0,0.0,60.0,0.05,512.0,0.0,1.0,local_sim,0.48374999999999996,0.00025600000000000004,0.0,0.0,0.0020480000000000003,0.0,0.00026828800000000004,0.0,-0.48378131740611485,-0.4887912215988622,,,,,,,,
exp1,vqc,0,classical_only,8.0,0.0,0.0,0.011230666073970497,4.0,2.0,0.0,60.0,0.05,512.0,0.0,1.0,classical,0.3875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.38759764523778273,-0.3876467940384664,,,,,,,,
exp1,vqc,0,oracle_placement,8.0,0.0,0.0,0.0,6.0,2.0,0.0,120.0,0.15,128.0,0.0,0.0,classical,0.3875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.38759764523778273,-0.3876467940384664,,,,,,,,
exp2,vqc,0,ablate_full,,8.0,,,6.0,1.0,1.0,120.0,0.05,128.0,0.0,2.0,qpu_B,0.54125,0.09927993467512539,0.0,0.0,5.128,0.00012800000000000002,0.13644793467512537,0.0,-0.5843232594038548,-0.6021158260709173,,,,,,,,
exp2,vqc,0,ablate_no_latency,,8.0,,,6.0,1.0,1.0,30.0,0.05,128.0,1.0,2.0,local_sim,0.48562500000000003,0.0015359999999999998,0.0,0.0,0.012287999999999999,0.0,0.0016097280000000002,0.0,-0.48581290443668934,-0.5002197232982285,,,,,,,,
exp2,vqc,0,ablate_no_energy,,8.0,,,6.0,1.0,1.0,60.0,0.05,2048.0,1.0,0.0,classical,0.3875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.38759764523778273,-0.3876467940384664,,,,,,,,
exp2,vqc,0,ablate_no_money,,8.0,,,2.0,2.0,1.0,120.0,0.05,512.0,1.0,1.0,classical,0.3875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.38759764523778273,-0.3876467940384664,,,,,,,,
exp2,vqc,0,ablate_no_failure,,8.0,,,2.0,1.0,1.0,60.0,0.15,128.0,1.0,0.0,classical,0.3875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.38759764523778273,-0.3876467940384664,,,,,,,,
exp2,vqc,0,ablate_no_staleness,,8.0,,,6.0,2.0,0.0,120.0,0.15,512.0,0.0,0.0,local_sim,0.42000000000000004,0.0015359999999999998,0.0,0.0,0.012287999999999999,0.0,0.0016097280000000002,0.0,-0.42018790443668924,-0.4514586352982655,,,,,,,,
exp3,vqc,0,single_snapshot,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,0.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,multi_env,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,0.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,cvar,,,,,,,,,,,,,,0.4208333333333332,0.02982270955956645,0.0,0.0,2.4e-05,9.600000000000002e-13,0.029822853607566455,0.0,-0.422780389115891,-0.4330552686629685,0.0,-0.38760553573581696,0.035174853380074034,,,,,
exp3,vqc,0,single_snapshot,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,1.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,multi_env,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,1.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,cvar,,,,,,,,,,,,,,0.4208333333333332,0.0427243965909167,0.0,0.0,2.4e-05,9.600000000000002e-13,0.04272454063891671,0.0,-0.4236226480953551,-0.4338361879781871,1.0,-0.38760553573581696,0.03601711235953814,,,,,
exp3,vqc,0,single_snapshot,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,2.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,multi_env,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,2.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,cvar,,,,,,,,,,,,,,0.4208333333333332,0.044274067026254645,0.0,0.0,2.4e-05,9.600000000000002e-13,0.044274211074254645,0.0,-0.4237238150075738,-0.4339299871512905,2.0,-0.38760553573581696,0.036118279271756815,,,,,
exp3,vqc,0,single_snapshot,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,3.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,multi_env,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,3.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,cvar,,,,,,,,,,,,,,0.4208333333333332,0.055245610037032024,0.0,0.0,2.4e-05,9.600000000000002e-13,0.05524575408503204,0.0,-0.42444006867245876,-0.4345940778112211,3.0,-0.38760553573581696,0.036834532936641795,,,,,
exp3,vqc,0,single_snapshot,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,4.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,multi_env,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,4.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,cvar,,,,,,,,,,,,,,0.4208333333333332,0.04179340197447461,0.0,0.0,2.4e-05,9.600000000000002e-13,0.04179354602247461,0.0,-0.4235618701076682,-0.43377983630289246,4.0,-0.38760553573581696,0.03595633437185125,,,,,
exp3,vqc,0,single_snapshot,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,5.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,multi_env,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,5.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,cvar,,,,,,,,,,,,,,0.4208333333333332,0.0465614627844507,0.0,0.0,2.4e-05,9.600000000000002e-13,0.046561606832450704,0.0,-0.4238731427359745,-0.43406843970596676,5.0,-0.38760553573581696,0.03626760700015752,,,,,
exp3,vqc,0,single_snapshot,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,6.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,multi_env,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,6.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,cvar,,,,,,,,,,,,,,0.4208333333333332,0.05932347296954273,0.0,0.0,2.4e-05,9.600000000000002e-13,0.05932361701754273,0.0,-0.4247062832119671,-0.4348409045960496,6.0,-0.38760553573581696,0.03710074747615011,,,,,
exp3,vqc,0,single_snapshot,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,7.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,multi_env,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,7.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,cvar,,,,,,,,,,,,,,0.4208333333333332,0.06416659023268226,0.0,0.0,2.4e-05,9.600000000000002e-13,0.06416673428068226,0.0,-0.4250224557399136,-0.43513405105104147,7.0,-0.38760553573581696,0.03741692000409663,,,,,
exp3,vqc,0,single_snapshot,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,8.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,multi_env,,,,,,,,,,,,,,0.38749999999999996,0.001,0.0,0.0,0.008,0.0,0.001048,0.0,-0.38760553573581696,-0.38764319626125776,8.0,-0.38760553573581696,0.0,,,,,
exp3,vqc,0,cvar,,,,,,,,,,,,,,0.4208333333333332,0.03514616456134311,0.0,0.0,2.4e-05,9.600000000000002e-13,0.03514630860934311,0.0,-0.4231279194633661,-0.4333774892240845,8.0,-0.38760553573581696,0.03552238372754912,,,,,
exp4,vqc,0,zero_shot,,,,,,,,,,,,,,0.3875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.38759764523778273,-0.3876467940384664,,,,,,,,
exp4,vqc,0,warm_start_half_budget,,,,,,,,,,,,,,0.3875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.38759764523778273,-0.3876467940384664,,,,,,,,
exp4,vqc,0,fresh_full_budget,,,,,,,,,,,,,,0.3875,0.0010000000000000002,0.0,0.0,0.008000000000000002,0.0,0.001048,0.0,-0.38759764523778273,-0.3876467940384664,,,,,,,,
exp6,vqc,0,,,,,,4.0,3.0,1.0,60.0,0.05,2048.0,0.0,0.0,local_sim,,,,,,,,,,,,,,0.0,-0.23668547012635255,-0.46673536818901096,-0.46673536818901096,-0.4584256401827045
exp6,vqc,0,,,,,,6.0,3.0,1.0,120.0,0.15,128.0,1.0,0.0,qpu_A,,,,,,,,,,,,,,1.0,-0.3452374838649748,-0.6929778348161612,-0.692977834816161,-0.6807277318194932
exp6,vqc,0,,,,,,2.0,3.0,0.0,30.0,0.05,128.0,0.0,1.0,local_sim,,,,,,,,,,,,,,2.0,-0.26652073851360153,-0.4104224381248683,-0.4104224381248683,-0.4125041285544601
exp6,vqc,0,,,,,,6.0,1.0,0.0,30.0,0.05,512.0,1.0,0.0,classical,,,,,,,,,,,,,,3.0,-0.3875984800206953,-0.3876278533059034,-0.3876278533059034,-0.3876278533059034
exp6,vqc,0,,,,,,2.0,1.0,1.0,30.0,0.15,512.0,1.0,1.0,qpu_B,,,,,,,,,,,,,,4.0,-0.4905689643144643,-0.5811590171430513,-0.5811590171430513,-0.5860567366690688
exp6,vqc,0,,,,,,6.0,2.0,0.0,30.0,0.15,128.0,0.0,0.0,qpu_A,,,,,,,,,,,,,,5.0,-0.30249812521186104,-0.5110146383478226,-0.5110146383478226,-0.5082729173516238
exp6,vqc,0,,,,,,2.0,1.0,0.0,120.0,0.15,512.0,0.0,0.0,qpu_A,,,,,,,,,,,,,,6.0,-0.47914058438293583,-0.5815384432715857,-0.5815384432715857,-0.9082880092988949
exp6,vqc,0,,,,,,4.0,1.0,0.0,60.0,0.05,512.0,1.0,1.0,classical,,,,,,,,,,,,,,7.0,-0.38760065290880463,-0.3876136310843719,-0.3876136310843719,-0.3876136310843719
exp6,vqc,0,,,,,,4.0,3.0,1.0,60.0,0.05,2048.0,0.0,0.0,qpu_B,,,,,,,,,,,,,,8.0,-0.39610305266590684,-0.6287512215519104,-0.6329178882185771,-0.6222761168151906
exp6,vqc,0,,,,,,4.0,1.0,0.0,30.0,0.05,2048.0,0.0,1.0,remote_sim,,,,,,,,,,,,,,9.0,-0.3388575172972399,-0.4949704614583314,-0.4949704614583314,-0.49137376607008765
exp6,vqc,0,,,,,,2.0,2.0,0.0,30.0,0.05,512.0,1.0,0.0,qpu_B,,,,,,,,,,,,,,10.0,-0.40295531151394137,-0.5726797184420015,-0.5726797184420015,-0.5747722277519308
exp6,vqc,0,,,,,,6.0,1.0,0.0,30.0,0.15,512.0,1.0,1.0,remote_sim,,,,,,,,,,,,,,11.0,-0.3359134265481982,-0.45265885928305627,-0.45265885928305627,-0.4530550218202172
