seed,regime,phase,candidate,draw,placement,action_loss,service_violation,quality_loss,delay_s,deadline_s
120,qpu_opportunity,1,0,0,classical,1.0,1,1.2003607738909847,0.00543770962394774,0.35
120,qpu_opportunity,1,0,1,classical,1.0,1,0.30339978702985887,0.004946039989590645,0.35
120,qpu_opportunity,1,0,2,classical,1.0,1,0.49490229894370485,0.004987915162928402,0.35
120,qpu_opportunity,1,0,3,classical,1.0,1,0.2969135894745723,0.004835209692828357,0.35
120,qpu_opportunity,1,0,4,classical,1.0,1,0.749725404773364,0.0049385399324819446,0.35
120,qpu_opportunity,1,0,5,classical,1.0,1,0.3039025840033074,0.004990209708921611,0.35
120,qpu_opportunity,1,0,6,classical,0.07667285363132327,0,0.07667285363132327,0.0051600002916529775,0.35
120,qpu_opportunity,1,0,7,classical,1.0,1,0.5189094723513364,0.0051183352479711175,0.35
120,qpu_opportunity,1,0,8,classical,0.1781676152188882,0,0.1781676152188882,0.004972085007466376,0.35
120,qpu_opportunity,1,0,9,classical,0.022938913356155895,0,0.022938913356155895,0.005120415007695556,0.35
120,qpu_opportunity,1,0,10,classical,1.0,1,0.5672535933843681,0.005367289995774627,0.35
120,qpu_opportunity,1,0,11,classical,0.022938913356155895,0,0.022938913356155895,0.004741455195471644,0.35
120,qpu_opportunity,1,0,12,classical,0.022938913356155895,0,0.022938913356155895,0.00509625009726733,0.35
120,qpu_opportunity,1,0,13,classical,0.0,0,0.0,0.005085624870844185,0.35
120,qpu_opportunity,1,0,14,classical,0.022938913356155895,0,0.022938913356155895,0.005173749523237348,0.35
120,qpu_opportunity,1,0,15,classical,1.0,1,0.48719378352810183,0.005256040021777153,0.35
120,qpu_opportunity,1,0,16,classical,1.0,1,0.2969135894745723,0.005237499717622995,0.35
120,qpu_opportunity,1,0,17,classical,0.00770851541560303,0,0.00770851541560303,0.005188955110497773,0.35
120,qpu_opportunity,1,0,18,classical,0.030647428771758925,0,0.030647428771758925,0.005097079556435347,0.35
120,qpu_opportunity,1,0,19,classical,0.07667285363132327,0,0.07667285363132327,0.0050833303248509765,0.35
120,qpu_opportunity,1,0,20,classical,0.3661384783533855,0,0.3661384783533855,0.005122915026731789,0.35
120,qpu_opportunity,1,0,21,classical,1.0,1,0.014436959281245158,0.005365204997360706,0.35
120,qpu_opportunity,1,0,22,classical,1.0,1,0.3198525028307282,0.0052783353021368384,0.35
120,qpu_opportunity,1,0,23,classical,0.022938913356155895,0,0.022938913356155895,0.005044789868406951,0.35
120,qpu_opportunity,1,0,24,classical,1.0,1,0.014436959281245158,0.0052052095998078585,0.35
120,qpu_opportunity,1,0,25,classical,0.08776832527186926,0,0.08776832527186926,0.0052262499229982495,0.35
120,qpu_opportunity,1,0,26,classical,1.0,1,0.0062291686777490324,0.005232705152593553,0.35
120,qpu_opportunity,1,0,27,classical,0.0,0,0.0,0.004987079882994294,0.35
120,qpu_opportunity,1,0,28,classical,0.3661384783533855,0,0.3661384783533855,0.004827499506063759,0.35
120,qpu_opportunity,1,0,29,classical,0.030647428771758925,0,0.030647428771758925,0.0053364550694823265,0.35
120,qpu_opportunity,1,0,30,classical,1.0,1,0.0062291686777490324,0.0050910451682284474,0.35
120,qpu_opportunity,1,0,31,classical,0.1781676152188882,0,0.1781676152188882,0.005076875095255673,0.35
120,qpu_opportunity,1,0,32,classical,0.030647428771758925,0,0.030647428771758925,0.005039579700678587,0.35
120,qpu_opportunity,1,0,33,classical,0.06846506302782733,0,0.06846506302782733,0.00495187530759722,0.35
120,qpu_opportunity,1,0,34,classical,0.022938913356155895,0,0.022938913356155895,0.004863124922849238,0.35
120,qpu_opportunity,1,0,35,classical,0.08005980985626623,0,0.08005980985626623,0.004929794813506305,0.35
