seed,regime,phase,shifted,candidate,draw,placement,action_loss,service_violation,quality_loss,delay_s,deadline_s
120,qpu_opportunity,1,False,0,0,classical,1.0,1,1.2003607738909847,0.0058795849326997995,0.35
120,qpu_opportunity,1,False,0,1,classical,1.0,1,0.30339978702985887,0.005847500287927687,0.35
120,qpu_opportunity,1,False,0,2,classical,1.0,1,0.49490229894370485,0.005957295070402324,0.35
120,qpu_opportunity,1,False,0,3,classical,1.0,1,0.2969135894745723,0.005785000394098461,0.35
120,qpu_opportunity,1,False,0,4,classical,1.0,1,0.749725404773364,0.0058612501015886664,0.35
120,qpu_opportunity,1,False,0,5,classical,1.0,1,0.3039025840033074,0.005814375472255051,0.35
120,qpu_opportunity,1,False,0,6,classical,0.07667285363132327,0,0.07667285363132327,0.00570978969335556,0.35
120,qpu_opportunity,1,False,0,7,classical,1.0,1,0.5189094723513364,0.00575354031752795,0.35
120,qpu_opportunity,1,False,0,8,classical,0.1781676152188882,0,0.1781676152188882,0.005568750202655792,0.35
120,qpu_opportunity,1,False,0,9,classical,0.022938913356155895,0,0.022938913356155895,0.005675000138580799,0.35
120,qpu_opportunity,1,False,0,10,classical,1.0,1,0.5672535933843681,0.005745204980485141,0.35
120,qpu_opportunity,1,False,0,11,classical,0.022938913356155895,0,0.022938913356155895,0.005880835233256221,0.35
120,qpu_opportunity,1,False,0,12,classical,0.022938913356155895,0,0.022938913356155895,0.00599229009822011,0.35
120,qpu_opportunity,1,False,0,13,classical,0.0,0,0.0,0.005722710047848523,0.35
120,qpu_opportunity,1,False,0,14,classical,0.022938913356155895,0,0.022938913356155895,0.005818955251015723,0.35
120,qpu_opportunity,1,False,0,15,classical,1.0,1,0.48719378352810183,0.005827915156260133,0.35
120,qpu_opportunity,1,False,0,16,classical,1.0,1,0.2969135894745723,0.005881459801457822,0.35
120,qpu_opportunity,1,False,0,17,classical,0.00770851541560303,0,0.00770851541560303,0.005571874789893627,0.35
