regime,seed,confirmation_draws,eta,alpha,fallback_loss,certificate_issued,fallback_used,service_violation,action_loss
qpu_opportunity,120,40,0.05,0.01,0.2,False,True,0.0,0.2
qpu_opportunity,120,40,0.05,0.01,0.3,False,True,0.0,0.3
qpu_opportunity,120,40,0.05,0.01,0.4,False,True,0.0,0.4
qpu_opportunity,120,40,0.05,0.05,0.2,False,True,0.0,0.2
qpu_opportunity,120,40,0.05,0.05,0.3,False,True,0.0,0.3
qpu_opportunity,120,40,0.05,0.05,0.4,False,True,0.0,0.4
qpu_opportunity,120,40,0.05,0.1,0.2,False,True,0.0,0.2
qpu_opportunity,120,40,0.05,0.1,0.3,False,True,0.0,0.3
qpu_opportunity,120,40,0.05,0.1,0.4,False,True,0.0,0.4
qpu_opportunity,120,40,0.1,0.01,0.2,False,True,0.0,0.2
qpu_opportunity,120,40,0.1,0.01,0.3,False,True,0.0,0.3
qpu_opportunity,120,40,0.1,0.01,0.4,False,True,0.0,0.4
qpu_opportunity,120,40,0.1,0.05,0.2,False,True,0.0,0.2
qpu_opportunity,120,40,0.1,0.05,0.3,False,True,0.0,0.3
qpu_opportunity,120,40,0.1,0.05,0.4,False,True,0.0,0.4
qpu_opportunity,120,40,0.1,0.1,0.2,True,False,0.05,0.061004897688105686
qpu_opportunity,120,40,0.1,0.1,0.3,True,False,0.05,0.061004897688105686
qpu_opportunity,120,40,0.1,0.1,0.4,True,False,0.05,0.061004897688105686
qpu_opportunity,120,40,0.15,0.01,0.2,True,False,0.05,0.061004897688105686
qpu_opportunity,120,40,0.15,0.01,0.3,True,False,0.05,0.061004897688105686
qpu_opportunity,120,40,0.15,0.01,0.4,True,False,0.05,0.061004897688105686
qpu_opportunity,120,40,0.15,0.05,0.2,True,False,0.05,0.061004897688105686
qpu_opportunity,120,40,0.15,0.05,0.3,True,False,0.05,0.061004897688105686
qpu_opportunity,120,40,0.15,0.05,0.4,True,False,0.05,0.061004897688105686
qpu_opportunity,120,40,0.15,0.1,0.2,True,False,0.05,0.061004897688105686
qpu_opportunity,120,40,0.15,0.1,0.3,True,False,0.05,0.061004897688105686
qpu_opportunity,120,40,0.15,0.1,0.4,True,False,0.05,0.061004897688105686
qpu_opportunity,120,80,0.05,0.01,0.2,False,True,0.0,0.2
qpu_opportunity,120,80,0.05,0.01,0.3,False,True,0.0,0.3
qpu_opportunity,120,80,0.05,0.01,0.4,False,True,0.0,0.4
qpu_opportunity,120,80,0.05,0.05,0.2,False,True,0.0,0.2
qpu_opportunity,120,80,0.05,0.05,0.3,False,True,0.0,0.3
qpu_opportunity,120,80,0.05,0.05,0.4,False,True,0.0,0.4
qpu_opportunity,120,80,0.05,0.1,0.2,False,True,0.0,0.2
qpu_opportunity,120,80,0.05,0.1,0.3,False,True,0.0,0.3
qpu_opportunity,120,80,0.05,0.1,0.4,False,True,0.0,0.4
qpu_opportunity,120,80,0.1,0.01,0.2,False,True,0.0,0.2
qpu_opportunity,120,80,0.1,0.01,0.3,False,True,0.0,0.3
qpu_opportunity,120,80,0.1,0.01,0.4,False,True,0.0,0.4
qpu_opportunity,120,80,0.1,0.05,0.2,False,True,0.0,0.2
qpu_opportunity,120,80,0.1,0.05,0.3,False,True,0.0,0.3
qpu_opportunity,120,80,0.1,0.05,0.4,False,True,0.0,0.4
qpu_opportunity,120,80,0.1,0.1,0.2,True,False,0.05,0.061004897688105686
qpu_opportunity,120,80,0.1,0.1,0.3,True,False,0.05,0.061004897688105686
qpu_opportunity,120,80,0.1,0.1,0.4,True,False,0.05,0.061004897688105686
qpu_opportunity,120,80,0.15,0.01,0.2,True,False,0.05,0.061004897688105686
qpu_opportunity,120,80,0.15,0.01,0.3,True,False,0.05,0.061004897688105686
qpu_opportunity,120,80,0.15,0.01,0.4,True,False,0.05,0.061004897688105686
qpu_opportunity,120,80,0.15,0.05,0.2,True,False,0.05,0.061004897688105686
qpu_opportunity,120,80,0.15,0.05,0.3,True,False,0.05,0.061004897688105686
qpu_opportunity,120,80,0.15,0.05,0.4,True,False,0.05,0.061004897688105686
qpu_opportunity,120,80,0.15,0.1,0.2,True,False,0.05,0.061004897688105686
qpu_opportunity,120,80,0.15,0.1,0.3,True,False,0.05,0.061004897688105686
qpu_opportunity,120,80,0.15,0.1,0.4,True,False,0.05,0.061004897688105686
qpu_opportunity,120,120,0.05,0.01,0.2,False,True,0.0,0.2
qpu_opportunity,120,120,0.05,0.01,0.3,False,True,0.0,0.3
qpu_opportunity,120,120,0.05,0.01,0.4,False,True,0.0,0.4
qpu_opportunity,120,120,0.05,0.05,0.2,False,True,0.0,0.2
qpu_opportunity,120,120,0.05,0.05,0.3,False,True,0.0,0.3
qpu_opportunity,120,120,0.05,0.05,0.4,False,True,0.0,0.4
qpu_opportunity,120,120,0.05,0.1,0.2,False,True,0.0,0.2
qpu_opportunity,120,120,0.05,0.1,0.3,False,True,0.0,0.3
qpu_opportunity,120,120,0.05,0.1,0.4,False,True,0.0,0.4
qpu_opportunity,120,120,0.1,0.01,0.2,False,True,0.0,0.2
qpu_opportunity,120,120,0.1,0.01,0.3,False,True,0.0,0.3
qpu_opportunity,120,120,0.1,0.01,0.4,False,True,0.0,0.4
qpu_opportunity,120,120,0.1,0.05,0.2,True,False,0.05,0.061004897688105686
qpu_opportunity,120,120,0.1,0.05,0.3,True,False,0.05,0.061004897688105686
qpu_opportunity,120,120,0.1,0.05,0.4,True,False,0.05,0.061004897688105686
