confirmation_draws,eta,alpha,fallback_loss,certificate_rate,violation,action_loss
40,0.05,0.01,0.2,0.0,0.0,0.20000000000000004
40,0.05,0.01,0.3,0.0,0.0,0.3
40,0.05,0.01,0.4,0.0,0.0,0.4000000000000001
40,0.05,0.05,0.2,0.0,0.0,0.20000000000000004
40,0.05,0.05,0.3,0.0,0.0,0.3
40,0.05,0.05,0.4,0.0,0.0,0.4000000000000001
40,0.05,0.1,0.2,0.0,0.0,0.20000000000000004
40,0.05,0.1,0.3,0.0,0.0,0.3
40,0.05,0.1,0.4,0.0,0.0,0.4000000000000001
40,0.1,0.01,0.2,0.0,0.0,0.20000000000000004
40,0.1,0.01,0.3,0.0,0.0,0.3
40,0.1,0.01,0.4,0.0,0.0,0.4000000000000001
40,0.1,0.05,0.2,0.0,0.0,0.20000000000000004
40,0.1,0.05,0.3,0.0,0.0,0.3
40,0.1,0.05,0.4,0.0,0.0,0.4000000000000001
40,0.1,0.1,0.2,0.14583333333333334,0.0022916666666666667,0.17450061146779935
40,0.1,0.1,0.3,0.14583333333333334,0.0022916666666666667,0.259917278134466
40,0.1,0.1,0.4,0.16666666666666666,0.0022916666666666667,0.3441476358136246
40,0.15,0.01,0.2,0.14583333333333334,0.0022916666666666667,0.17450061146779935
40,0.15,0.01,0.3,0.14583333333333334,0.0022916666666666667,0.259917278134466
40,0.15,0.01,0.4,0.16666666666666666,0.0022916666666666667,0.3441476358136246
40,0.15,0.05,0.2,0.14583333333333334,0.0022916666666666667,0.17450061146779935
40,0.15,0.05,0.3,0.14583333333333334,0.0022916666666666667,0.259917278134466
40,0.15,0.05,0.4,0.16666666666666666,0.0022916666666666667,0.3441476358136246
40,0.15,0.1,0.2,0.22916666666666666,0.003958333333333334,0.16076329280652152
40,0.15,0.1,0.3,0.25,0.003958333333333334,0.23886032089609158
40,0.15,0.1,0.4,0.25,0.003958333333333334,0.3138603208960916
80,0.05,0.01,0.2,0.0,0.0,0.20000000000000004
80,0.05,0.01,0.3,0.0,0.0,0.3
80,0.05,0.01,0.4,0.0,0.0,0.4000000000000001
80,0.05,0.05,0.2,0.0,0.0,0.20000000000000004
80,0.05,0.05,0.3,0.0,0.0,0.3
80,0.05,0.05,0.4,0.0,0.0,0.4000000000000001
80,0.05,0.1,0.2,0.020833333333333332,0.0,0.1958625797232615
80,0.05,0.1,0.3,0.020833333333333332,0.0,0.29377924638992814
80,0.05,0.1,0.4,0.0625,0.0,0.38932329508157865
80,0.1,0.01,0.2,0.020833333333333332,0.0,0.1958625797232615
80,0.1,0.01,0.3,0.020833333333333332,0.0,0.29377924638992814
80,0.1,0.01,0.4,0.0625,0.0,0.38932329508157865
80,0.1,0.05,0.2,0.125,0.0022916666666666667,0.17863989222972354
80,0.1,0.05,0.3,0.125,0.0022916666666666667,0.2661398922297235
80,0.1,0.05,0.4,0.16666666666666666,0.0022916666666666667,0.3515006150755304
80,0.1,0.1,0.2,0.16666666666666666,0.003541666666666667,0.17117054630249787
80,0.1,0.1,0.3,0.16666666666666666,0.003541666666666667,0.2545038796358312
80,0.1,0.1,0.4,0.20833333333333334,0.003541666666666667,0.33569793581497137
80,0.15,0.01,0.2,0.20833333333333334,0.003958333333333334,0.1644318448509533
80,0.15,0.01,0.3,0.20833333333333334,0.003958333333333334,0.24359851151761994
80,0.15,0.01,0.4,0.22916666666666666,0.003958333333333334,0.32169553960719005
80,0.15,0.05,0.2,0.25,0.006041666666666667,0.1586799594731882
80,0.15,0.05,0.3,0.25,0.006041666666666667,0.23367995947318818
80,0.15,0.05,0.4,0.2708333333333333,0.006041666666666667,0.3076103208960916
80,0.15,0.1,0.2,0.2916666666666667,0.008125,0.15409307209163625
80,0.15,0.1,0.3,0.2916666666666667,0.008125,0.22492640542496956
80,0.15,0.1,0.4,0.3125,0.008125,0.29469010018120634
120,0.05,0.01,0.2,0.0,0.0,0.20000000000000004
120,0.05,0.01,0.3,0.0,0.0,0.3
120,0.05,0.01,0.4,0.0,0.0,0.4000000000000001
120,0.05,0.05,0.2,0.020833333333333332,0.0,0.1958625797232615
120,0.05,0.05,0.3,0.020833333333333332,0.0,0.29377924638992814
120,0.05,0.05,0.4,0.0625,0.0,0.38932329508157865
120,0.05,0.1,0.2,0.041666666666666664,0.0,0.19223533538028745
120,0.05,0.1,0.3,0.041666666666666664,0.0,0.28806866871362075
120,0.05,0.1,0.4,0.08333333333333333,0.0,0.3817627248927609
120,0.1,0.01,0.2,0.125,0.0016666666666666668,0.17815985723444597
120,0.1,0.01,0.3,0.125,0.0016666666666666668,0.26565985723444596
120,0.1,0.01,0.4,0.16666666666666666,0.0016666666666666668,0.3510205800802528
120,0.1,0.05,0.2,0.20833333333333334,0.003958333333333334,0.1644318448509533
120,0.1,0.05,0.3,0.20833333333333334,0.003958333333333334,0.24359851151761994
120,0.1,0.05,0.4,0.22916666666666666,0.003958333333333334,0.32169553960719005
120,0.1,0.1,0.2,0.25,0.005,0.1578735911359307
120,0.1,0.1,0.3,0.25,0.005,0.23287359113593067
120,0.1,0.1,0.4,0.2708333333333333,0.005,0.30680395255883414
120,0.15,0.01,0.2,0.2916666666666667,0.008125,0.15409307209163625
120,0.15,0.01,0.3,0.2916666666666667,0.008125,0.22492640542496956
120,0.15,0.01,0.4,0.3125,0.008125,0.29469010018120634
120,0.15,0.05,0.2,0.2916666666666667,0.008125,0.15409307209163625
120,0.15,0.05,0.3,0.2916666666666667,0.008125,0.22492640542496956
120,0.15,0.05,0.4,0.3125,0.008125,0.29469010018120634
120,0.15,0.1,0.2,0.2916666666666667,0.008125,0.15409307209163625
120,0.15,0.1,0.3,0.2916666666666667,0.008125,0.22492640542496956
120,0.15,0.1,0.4,0.3125,0.008125,0.29469010018120634
